"Event_ID","Event_Name","Event_Tour_1","Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Projected_Stdev","Win_Rank","Win","Top_5","Top_10","Country","Rounds_Last_Year","Recent_Tour"
6334,"The Barclays ","PGA Tour",54,97,"Charles Howell III",6892,-0.929959477026182,2.26187258345069,38,0.0051,0.0292,0.0708,"USA",93,"PGA Tour"
6334,"The Barclays ","PGA Tour",32,37,"Emiliano Grillo",12808,-1.11110191775318,2.18807692508215,39,0.0049,0.0368,0.0871,"ARG",108,"PGA Tour"
6334,"The Barclays ","PGA Tour",46,30,"Kevin Kisner",11328,-0.989810666054278,2.29795610321573,40,0.0048,0.0345,0.0792,"USA",94,"PGA Tour"
6334,"The Barclays ","PGA Tour",52,48,"Charley Hoffman",5768,-0.956796395727859,2.33472745609382,41,0.0047,0.0392,0.0846,"USA",94,"PGA Tour"
6334,"The Barclays ","PGA Tour",56,41,"William McGirt",12477,-0.925921177479191,2.32320418417066,41,0.0047,0.0326,0.0759,"USA",98,"PGA Tour"
6334,"The Barclays ","PGA Tour",69,52,"David Lingmerth",14815,-0.777683314461656,2.44961440373261,41,0.0047,0.0301,0.0678,"SWE",99,"European Tour"
6334,"The Barclays ","PGA Tour",37,59,"Harris English",14577,-1.07825343041727,2.14798953585788,44,0.0046,0.036,0.0816,"USA",104,"PGA Tour"
6334,"The Barclays ","PGA Tour",65,47,"Danny Lee",11826,-0.800621739064931,2.41879587108127,44,0.0046,0.0293,0.066,"NZL",113,"PGA Tour"
6334,"The Barclays ","PGA Tour",40,63,"Webb Simpson",11049,-1.04643119878315,2.19606889504162,46,0.0044,0.0305,0.0766,"USA",84,"PGA Tour"
6334,"The Barclays ","PGA Tour",43,61,"Gary Woodland",12577,-1.02567059735232,2.2150046073628,47,0.0043,0.0317,0.0759,"USA",85,"PGA Tour"
6334,"The Barclays ","PGA Tour",47,55,"Daniel Summerhays",12424,-0.972795535717394,2.28130448400653,47,0.0043,0.0316,0.0716,"USA",107,"PGA Tour"
6334,"The Barclays ","PGA Tour",63,72,"Chris Kirk",12423,-0.849689111564747,2.27856962823666,49,0.0036,0.0263,0.0619,"USA",88,"PGA Tour"
6334,"The Barclays ","PGA Tour",67,82,"Tony Finau",11676,-0.795250150431637,2.26785443504793,49,0.0036,0.025,0.0622,"USA",97,"PGA Tour"
6334,"The Barclays ","PGA Tour",48,109,"Keegan Bradley",13872,-0.96978421406256,2.22867919641978,51,0.0035,0.0295,0.0696,"USA",92,"PGA Tour"
6334,"The Barclays ","PGA Tour",73,29,"Scott Piercy",7899,-0.693870615377875,2.47116288230968,52,0.0033,0.0284,0.0632,"USA",94,"PGA Tour"
6334,"The Barclays ","PGA Tour",74,121,"Jason Kokrak",12337,-0.69031587712033,2.29580280338201,52,0.0033,0.0193,0.048,"USA",79,"PGA Tour"
6334,"The Barclays ","PGA Tour",70,66,"Robert Streb",14852,-0.772542428404383,2.35199242458445,54,0.0031,0.0241,0.0619,"USA",100,"PGA Tour"
6334,"The Barclays ","PGA Tour",85,216,"Lucas Glover",7399,-0.595627230295209,2.34375111736079,54,0.0031,0.0176,0.048,"USA",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",71,94,"Russell Henley",14578,-0.737998140707178,2.27648345661671,56,0.003,0.0221,0.0527,"USA",80,"PGA Tour"
6334,"The Barclays ","PGA Tour",78,91,"Patton Kizzire",13470,-0.679735787410935,2.30267534390313,56,0.003,0.0176,0.048,"USA",103,"PGA Tour"
6334,"The Barclays ","PGA Tour",62,64,"Luke Donald",4163,-0.878872883135613,2.20318606012963,58,0.0028,0.0263,0.0648,"ENG",104,"PGA Tour"
6334,"The Barclays ","PGA Tour",92,122,"Bryce Molder",7292,-0.570238300676272,2.32412271728009,59,0.0026,0.0165,0.0418,"USA",86,"PGA Tour"
6334,"The Barclays ","PGA Tour",79,176,"Adam Hadwin",13965,-0.654731317550143,2.28201154923886,60,0.0025,0.0193,0.0476,"CAN",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",86,144,"Graham Delaet",10252,-0.593591269142555,2.41122484318155,60,0.0025,0.0215,0.0493,"CAN",68,"PGA Tour"
6334,"The Barclays ","PGA Tour",76,131,"Chez Reavie",7961,-0.683891413751925,2.27627927676789,62,0.0024,0.0188,0.0461,"USA",98,"PGA Tour"
6334,"The Barclays ","PGA Tour",121,98,"Jamie Lovemark",11382,-0.41839242676845,2.48625976420004,62,0.0024,0.0159,0.0377,"USA",101,"PGA Tour"
6334,"The Barclays ","PGA Tour",141,152,"Jonas Blixt",8182,-0.321479497489975,2.40637435971239,62,0.0024,0.0134,0.0298,"SWE",78,"PGA Tour"
6334,"The Barclays ","PGA Tour",89,70,"Graeme McDowell",7548,-0.575503722194136,2.36883293121688,65,0.0023,0.016,0.0414,"NIR",88,"PGA Tour"
6334,"The Barclays ","PGA Tour",97,101,"Jerry Kelly",5151,-0.537357610475483,2.37808210020534,66,0.0021,0.0177,0.0405,"USA",84,"PGA Tour"
6334,"The Barclays ","PGA Tour",106,173,"Ricky Barnes",6846,-0.491163533508799,2.3262053295175,67,0.002,0.0158,0.0356,"USA",98,"PGA Tour"
6334,"The Barclays ","PGA Tour",84,138,"David Hearn",7340,-0.606860185601891,2.2108451087619,68,0.0019,0.0143,0.035,"CAN",97,"PGA Tour"
6334,"The Barclays ","PGA Tour",80,177,"Chad Campbell",6248,-0.635556530636939,2.2222054338003,69,0.0017,0.018,0.0419,"USA",92,"PGA Tour"
6334,"The Barclays ","PGA Tour",93,106,"K.J. Choi",1804,-0.557753605529693,2.28446540514999,69,0.0017,0.0149,0.0391,"KOR",77,"PGA Tour"
6334,"The Barclays ","PGA Tour",98,100,"Colt Knost",12149,-0.533695122126664,2.38864279541192,69,0.0017,0.0176,0.0438,"USA",90,"PGA Tour"
6334,"The Barclays ","PGA Tour",103,113,"Kevin Streelman",8480,-0.514366751180597,2.28043906686797,69,0.0017,0.0123,0.035,"USA",78,"PGA Tour"
6334,"The Barclays ","PGA Tour",119,135,"Sean O'Hair",7626,-0.426789928330252,2.31011997591166,69,0.0017,0.0119,0.0298,"USA",87,"PGA Tour"
6334,"The Barclays ","PGA Tour",87,116,"Freddie Jacobson",3846,-0.590217901218716,2.25791893505596,74,0.0016,0.0144,0.0385,"SWE",82,"PGA Tour"
6334,"The Barclays ","PGA Tour",108,235,"Hudson Swafford",14706,-0.473215522756293,2.27591065336832,74,0.0016,0.0112,0.0336,"USA",102,"PGA Tour"
6334,"The Barclays ","PGA Tour",129,163,"Boo Weekley",7403,-0.383162291679025,2.34400727744189,76,0.0015,0.0118,0.0283,"USA",89,"PGA Tour"
6334,"The Barclays ","PGA Tour",96,141,"Brian Harman",8825,-0.537380009134809,2.25960504393592,77,0.0014,0.0143,0.0369,"USA",106,"PGA Tour"
6334,"The Barclays ","PGA Tour",105,62,"Siwoo Kim",14609,-0.491678607494388,2.44193713909783,77,0.0014,0.0179,0.0465,"KOR",115,"PGA Tour"
6334,"The Barclays ","PGA Tour",88,102,"Roberto Castro",12643,-0.589545053607269,2.25273866386827,79,0.0013,0.0163,0.0429,"USA",103,"PGA Tour"
6334,"The Barclays ","PGA Tour",101,130,"Aaron Baddeley",6252,-0.528336233613587,2.30815806522165,80,0.0012,0.0142,0.0358,"AUS",93,"PGA Tour"
6334,"The Barclays ","PGA Tour",102,129,"Cameron Tringale",14013,-0.518576822092442,2.29052875737958,80,0.0012,0.013,0.0338,"USA",87,"PGA Tour"
6334,"The Barclays ","PGA Tour",118,108,"Ben Martin",14007,-0.427122439606821,2.34236229630628,80,0.0012,0.0126,0.0329,"USA",94,"PGA Tour"
6334,"The Barclays ","PGA Tour",122,73,"Smylie Kaufman",18631,-0.418075744851357,2.42074862246356,80,0.0012,0.0125,0.0332,"USA",94,"PGA Tour"
6334,"The Barclays ","PGA Tour",147,236,"Blayne Barber",15608,-0.269904267405922,2.35026203739933,80,0.0012,0.0102,0.0268,"USA",78,"PGA Tour"
6334,"The Barclays ","PGA Tour",72,111,"John Senden",5207,-0.7256872409951,2.12077620526187,85,0.0011,0.0145,0.0384,"AUS",100,"PGA Tour"
6334,"The Barclays ","PGA Tour",81,117,"Alex Cejka",4425,-0.622735037744014,2.1788493362046,85,0.0011,0.0134,0.0345,"GER",80,"PGA Tour"
6334,"The Barclays ","PGA Tour",114,127,"Vijay Singh",653,-0.453631079197118,2.27078050288987,85,0.0011,0.0122,0.0312,"FIJ",78,"PGA Tour"
6334,"The Barclays ","PGA Tour",134,242,"Shawn Stefani",14012,-0.367689831018534,2.3682473739926,85,0.0011,0.0114,0.0284,"USA",95,"PGA Tour"
6334,"The Barclays ","PGA Tour",146,65,"James Hahn",11374,-0.270103890818299,2.36638677742417,85,0.0011,0.0109,0.0259,"USA",85,"PGA Tour"
6334,"The Barclays ","PGA Tour",113,146,"Martin Laird",9586,-0.454011089184933,2.23026143811365,90,0.001,0.0104,0.028,"SCO",80,"PGA Tour"
6334,"The Barclays ","PGA Tour",135,119,"Jason Bohn",6462,-0.364352920570596,2.27764525904037,90,0.001,0.0108,0.0281,"USA",69,"PGA Tour"
6334,"The Barclays ","PGA Tour",153,171,"Harold Varner III",16602,-0.245494679531483,2.3514684371066,90,0.001,0.0086,0.0224,"USA",110,"PGA Tour"
6334,"The Barclays ","PGA Tour",117,162,"Scott Brown",11330,-0.438864464665994,2.35741529261504,93,9e-04,0.0134,0.0366,"USA",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",128,83,"Jhonattan Vegas",13508,-0.386612162386304,2.37297255721135,93,9e-04,0.0136,0.0304,"VEN",97,"PGA Tour"
6334,"The Barclays ","PGA Tour",138,200,"David Toms",4340,-0.349240715169066,2.25557341783187,93,9e-04,0.0076,0.0222,"USA",62,"PGA Tour"
6334,"The Barclays ","PGA Tour",149,85,"Jim Herman",12846,-0.259302174898409,2.25838350863268,93,9e-04,0.0079,0.0221,"USA",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",165,326,"Michael Kim",17543,-0.188825354880731,2.25220390648523,93,9e-04,0.0062,0.0204,"USA",112,"PGA Tour"
6334,"The Barclays ","PGA Tour",111,118,"Patrick Rodgers",16283,-0.457029055918742,2.343264411814,98,8e-04,0.0149,0.0357,"USA",83,"PGA Tour"
6334,"The Barclays ","PGA Tour",126,187,"Spencer Levin",8199,-0.395634713719465,2.20007703667277,98,8e-04,0.0067,0.0232,"USA",104,"PGA Tour"
6334,"The Barclays ","PGA Tour",136,168,"Johnson Wagner",7927,-0.36432950805872,2.33032194153277,98,8e-04,0.0079,0.0265,"USA",88,"PGA Tour"
6334,"The Barclays ","PGA Tour",150,276,"Derek Fathauer",12689,-0.256388126783955,2.30799654323173,98,8e-04,0.0075,0.0217,"USA",100,"PGA Tour"
6334,"The Barclays ","PGA Tour",109,112,"Kyle Reifers",11329,-0.466148807723149,2.19567785976173,102,7e-04,0.01,0.0279,"USA",108,"PGA Tour"
6334,"The Barclays ","PGA Tour",139,202,"Robert Garrigus",6789,-0.331217275110243,2.30749236836617,102,7e-04,0.0087,0.0247,"USA",78,"PGA Tour"
6334,"The Barclays ","PGA Tour",194,179,"Sunghoon Kang",7881,-0.0725571187175906,2.36819959820628,102,7e-04,0.0073,0.0177,"KOR",111,"PGA Tour"
6334,"The Barclays ","PGA Tour",197,260,"Tyrone van Aswegen",9913,-0.0574061940478659,2.24945394296814,102,7e-04,0.0047,0.0115,"RSA",113,"PGA Tour"
6334,"The Barclays ","PGA Tour",167,295,"Luke List",7960,-0.179812183913579,2.35911090794237,106,6e-04,0.0072,0.021,"USA",93,"PGA Tour"
6334,"The Barclays ","PGA Tour",140,115,"Vaughn Taylor",6930,-0.326385728110628,2.16725127330244,107,5e-04,0.0054,0.0177,"USA",78,"PGA Tour"
6334,"The Barclays ","PGA Tour",156,273,"Seungyul Noh",11117,-0.237242268000789,2.32704415160831,107,5e-04,0.0067,0.0242,"KOR",82,"PGA Tour"
6334,"The Barclays ","PGA Tour",241,172,"Andrew Loupe",15318,0.1072572952562,2.44700405977165,107,5e-04,0.005,0.0139,"USA",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",144,92,"Jon Curran",14699,-0.312307009703077,2.21390756939621,110,4e-04,0.0073,0.0197,"USA",91,"PGA Tour"
6334,"The Barclays ","PGA Tour",162,354,"Ben Crane",6674,-0.214643964488144,2.25353594982018,110,4e-04,0.0062,0.0169,"USA",76,"PGA Tour"
6334,"The Barclays ","PGA Tour",185,79,"Fabian Gomez",8571,-0.11434949525973,2.32881427086453,110,4e-04,0.0057,0.018,"ARG",88,"PGA Tour"
6334,"The Barclays ","PGA Tour",230,219,"Brett Stegmaier",11354,0.0626012744845126,2.35649685702108,110,4e-04,0.0056,0.0143,"USA",102,"PGA Tour"
6334,"The Barclays ","PGA Tour",226,114,"Troy Merritt",13367,0.0515182988539477,2.40062037682849,114,3e-04,0.0057,0.0145,"USA",91,"PGA Tour"
