"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
45,66,"Jason Dufner","7301",-1.02136310814242,0.670146749007409,2.78088512597906,76.6709538353316,81.6137946800361,339,-0.687004234639247,0.376372217255396,1,"USA",90,"PGA Tour","PGA Tour",-1.21287225618609,0.640363604366073,1.92623186540258e-05,2.62233033654156,2.69893042123845,2017-01-25
46,74,"Chris Kirk","12423",-0.996552026855322,0.666665088594474,2.85224818888128,80.9396267781669,85.9624824302437,379,-0.586951889041285,0.376294211548717,1,"USA",91,"PGA Tour","PGA Tour",-1.18110674739799,0.63913269412006,2.31825062659139e-05,2.8062672205849,2.7732431178362,2017-01-25
47,79,"Harris English","14577",-0.992567891533363,0.663379272824385,2.64788849793484,80.5008374707571,85.3851258952479,391,-0.619880302689913,0.343919012021118,1,"USA",92,"PGA Tour","PGA Tour",-1.17579746520746,0.639133267011741,2.40545326129538e-05,2.29693644693306,2.56344327767997,2017-01-25
48,35,"Kevin Chappell","13305",-0.992246997308535,0.668147390913978,2.90073355051149,73.9674566171376,78.7184565564943,361,-0.652204714388567,0.3382568487739,1,"USA",85,"PGA Tour","PGA Tour",-1.18954792672474,0.641057464076623,2.31349615192564e-05,2.9358194481321,2.82273523290404,2017-01-25
49,112,"Chez Reavie","7961",-0.972222698833711,0.677890351162822,2.86925248736501,73.6732760720707,78.7233612140222,272,-0.428848486015615,0.420799840755036,1,"USA",86,"PGA Tour","PGA Tour",-1.18108213319147,0.641028342915623,2.45115636731933e-05,2.84737588461689,2.78802340521931,2017-01-25
50,88,"Webb Simpson","11049",-0.958427140379123,0.671950565709326,2.73751308714394,74.9891361740397,79.9138903897086,344,-0.600050049819401,0.379989499375558,1,"USA",78,"PGA Tour","PGA Tour",-1.15398872316929,0.640755917695122,2.93101478566442e-05,2.50617931025045,2.65376342945773,2017-01-25
51,75,"Billy Horschel","11276",-0.953437649641006,0.670571090136253,2.87721948132215,70.5357069181251,75.2016540160539,370,-0.654405883424183,0.330597692678437,1,"USA",81,"PGA Tour","PGA Tour",-1.1572617247806,0.642190501298406,2.98611393377712e-05,2.87622174000894,2.79798612519312,2017-01-25
52,43,"Lee Westwood","4052",-0.943506779642755,0.670882607550374,2.9190359111191,73.9291031034621,78.7505713357892,358,-0.225871765075356,0.357496081205713,1,"ENG",69,"European Tour","European Tour",-1.15720965725842,0.641714726289122,2.94683201508302e-05,2.9822874540764,2.84089548862491,2017-01-25
53,36,"Scott Piercy","7899",-0.932013625272786,0.669843939313243,2.91198555532972,82.9115013263849,88.1443118240219,316,-0.645394514983265,0.41799038008389,1,"USA",92,"PGA Tour","PGA Tour",-1.10651191598239,0.638587829546317,3.81178022308522e-05,2.95026254491394,2.83389642919678,2017-01-25
54,42,"Kevin Kisner","11328",-0.930602221796973,0.664214295630065,2.88580337103493,84.3764182961045,89.4643623335386,369,-0.666432484653485,0.376395222622861,1,"USA",88,"PGA Tour","PGA Tour",-1.10059912206374,0.638270592802424,3.93292469142695e-05,2.88781475961668,2.80832342613119,2017-01-25
55,111,"Adam Hadwin","13965",-0.91549806295784,0.666793800465105,2.89306470090408,78.3879605339439,83.3024023047132,349,-0.406829230877485,0.360882401107201,1,"CAN",91,"PGA Tour","PGA Tour",-1.10825811308872,0.639642041523081,3.87945780003019e-05,2.91079037769569,2.81517484204419,2017-01-25
56,61,"Joost Luiten","10158",-0.899914046097989,0.666080002659216,2.74209603211209,82.2414880031754,87.2769174034293,361,-0.0428360427634051,0.373395335501372,1,"NED",91,"European Tour","European Tour",-1.09908371384299,0.639611015679644,4.1243710041256e-05,2.53407360533627,2.65996768389812,2017-01-25
57,46,"Byeong Hun An","14459",-0.897063557545009,0.665291426180225,2.77968379298607,80.7334498374423,85.6782950711296,368,-0.0713467457008612,0.357929764328546,1,"KOR",83,"European Tour","European Challenge Tour",-1.09760078211021,0.639749356612732,4.18186494559788e-05,2.62609675844816,2.6988940896672,2017-01-25
58,50,"Shane Lowry","13900",-0.890532111933388,0.674976316928975,2.90743122870211,67.5604928144606,72.2021098672957,322,-0.368354013205471,0.337954033571137,1,"IRL",78,"European Tour","European Tour",-1.11220429287217,0.643732017895093,4.23021783164482e-05,2.96076002246786,2.82799634391865,2017-01-25
59,63,"Ross Fisher","9396",-0.887954785204493,0.667137837243621,2.87327779226822,80.8694753805661,85.8791136839895,377,-0.0440501075476127,0.373351823124631,1,"ENG",85,"European Tour","European Tour",-1.08943664572445,0.640026207919892,4.45218286021451e-05,2.85839724833136,2.79475443959924,2017-01-25
60,45,"William McGirt","12477",-0.849772567405331,0.66316778053226,2.82366795297103,84.9373025228188,90.0146881126764,382,-0.593337262141256,0.371423518997162,1,"USA",96,"PGA Tour","PGA Tour",-1.01686083599118,0.637981678726469,6.83400710400225e-05,2.73749457904254,2.7446874509677,2017-01-25
61,81,"Tony Finau","11676",-0.840578732334053,0.662579721573056,2.81082784173757,87.6815265886558,92.8557236859574,339,-0.50139969723376,0.381881375116969,1,"USA",98,"PGA Tour","PGA Tour",-1.00603067288693,0.637426930191522,7.23364425976741e-05,2.70751066588446,2.73161879998789,2017-01-25
62,129,"Russell Henley","14578",-0.83642296686465,0.671875263465431,2.75781181940975,73.7667711876861,78.6307556330091,343,-0.520930619970842,0.369809989880819,1,"USA",79,"PGA Tour","PGA Tour",-1.0304933534001,0.641098623553867,6.7794445345951e-05,2.55735259391134,2.67471674418421,2017-01-25
63,100,"Jason Kokrak","12337",-0.804453628702133,0.673068945790443,2.82589054665163,72.328804966146,77.1625709036114,326,-0.548434987215962,0.368806297322261,1,"USA",88,"PGA Tour","PGA Tour",-0.998846259355673,0.641481190094655,8.41768768872006e-05,2.73592286992981,2.74456473340812,2017-01-25
64,143,"Grayson Murray","14655",-0.804178461400945,0.779569548108204,2.86020155311017,40.8936288632651,45.7209701668166,66,0.30738210493508,0.649167775249154,0,"USA",64,"PGA Tour","Web.com Tour",-1.21756337112355,0.659756463697161,3.25605989124256e-05,2.75729205476117,2.75191283366247,2017-01-25
65,52,"Soren Kjeldsen","6149",-0.797122336384057,0.660745308141184,2.756448323683,91.3654241879983,96.5981794620861,393,-0.188516438763627,0.379302189966835,1,"DEN",99,"European Tour","European Tour",-0.966414609869627,0.637367189276919,9.35716772619801e-05,2.58304618613172,2.67608351867131,2017-01-25
66,140,"Martin Laird","9586",-0.794081500905942,0.678611400709254,2.77735481815709,66.375835397723,71.0755549741166,311,-0.459854246666498,0.361492874388671,1,"SCO",76,"PGA Tour","PGA Tour",-1.00892709424973,0.643558545529166,8.31421633734098e-05,2.59471972633388,2.69317402942473,2017-01-25
