"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Rory McIlroy","10091",-2.25007644243357,0.540826684372518,2.92105725975806,1,0,-2.26165274841349,0.0115763059799239,78.0391941100711,83.0024863458435,336,-0.415375393397729,0.375014696771104,1,"NIR",88,"European Tour","PGA Tour",-2.52851628038335,0.484125005101965,1.5276187946716e-05,3.04820535639157,2.87055430400748,2015-03-18
2,7,"Jim Furyk","2881",-2.03386046731224,0.546793336410521,2.73524962866959,2,0,-2.0878515260242,0.0539910587119623,71.2351431953565,76.0114892410457,343,-0.66959819365032,0.358347295572592,1,"USA",80,"PGA Tour","PGA Tour",-2.30789074409613,0.486586833351689,0.000118420491104711,2.56709522709188,2.68003872703254,2015-03-18
3,4,"Adam Scott","6430",-1.98535890385775,0.549405826980354,2.76989626032623,3,0,-2.06569648529036,0.0803375814326086,70.747003402416,75.5561911926793,307,-0.304721887034148,0.370104096937236,1,"AUS",78,"PGA Tour","PGA Tour",-2.27568331144987,0.486900489310689,0.000156359417975404,2.65774618918158,2.71486252511048,2015-03-18
4,5,"Jason Day","9771",-1.90068098745138,0.563377816849941,2.77529488665074,4,0,-1.90658790197435,0.0059069145229691,62.7177804865593,67.3934677799845,295,-0.671452804402227,0.374913552202997,1,"AUS",62,"PGA Tour","PGA Tour",-2.19971366458551,0.490768614456098,0.000322962480613444,2.65793939632706,2.71751120390536,2015-03-18
5,3,"Henrik Stenson","5994",-1.89229363398622,0.531269398524107,2.78817834560088,5,0,-1.83482739473388,-0.0574662392523413,87.5613736290521,92.7038592098607,375,-0.443735787875002,0.375162132053091,1,"SWE",94,"European Tour","PGA Tour",-2.1220158355088,0.481226770602158,0.000454901171138811,2.72014699208207,2.73709541541202,2015-03-18
6,6,"Jordan Spieth","14636",-1.8551332445425,0.541867972129093,2.81271769361157,7,-1,-1.78115959475218,-0.0739736497903165,89.8401637634878,95.4004513183843,254,-0.52542844325999,0.458656233156565,1,"USA",106,"PGA Tour","PGA Tour",-2.0797731258352,0.480630437536714,0.00062058070851551,2.7728665679529,2.76002897172045,2015-03-18
7,8,"Sergio Garcia","5689",-1.78151368946369,0.537643776501196,2.79771667780266,6,1,-1.79363247464581,0.0121187851821198,83.7481118519118,88.8969394249366,367,-0.433868832859201,0.393758745496333,1,"ESP",88,"PGA Tour","PGA Tour",-2.01542456592928,0.482370554991991,0.00105024417508734,2.73948824085527,2.74557057436969,2015-03-18
8,2,"Bubba Watson","7334",-1.75812887184928,0.543836222971527,2.74670639945783,9,-1,-1.76734523841287,0.00921636656359359,77.1252006694699,82.1203378866286,343,-0.591019960357556,0.387716908139112,1,"USA",80,"PGA Tour","PGA Tour",-2.00080440381992,0.484435635626155,0.00122685755320672,2.60633808714168,2.69232951315523,2015-03-18
9,14,"Matt Kuchar","6169",-1.75385501071587,0.529844626948691,2.68317880726124,8,1,-1.77440579287096,0.0205507821550932,91.2956788000918,96.5620966634684,389,-0.620479913722236,0.38696636830851,1,"USA",102,"PGA Tour","PGA Tour",-1.96086970161576,0.480271460674487,0.00148581965383375,2.4796216652736,2.63034468901501,2015-03-18
10,10,"Justin Rose","6093",-1.69643440546334,0.536553842244698,2.64582124872587,10,0,-1.75899609432205,0.0625616888587053,83.87715303831,89.0019371588942,365,-0.556769513448517,0.387419949707192,1,"ENG",94,"PGA Tour","PGA Tour",-1.91908968327216,0.482320641407856,0.00208873451241461,2.37263612734791,2.59084543239881,2015-03-18
