"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Rory McIlroy","10091",-2.25484739547543,0.553999549744229,2.9887523247767,1,0,-2.35980550634296,0.104958110867527,80.6064517971321,85.6775822691171,342,-0.426597507948044,0.389827473348944,1,"NIR",84,"PGA Tour","PGA Tour",-2.52667662860073,0.50057113374122,4.96145187077891e-08,3.20368923842293,2.93695845352659,2015-06-03
2,2,"Jordan Spieth","14636",-2.06818327209846,0.551280361254781,2.84915766256837,2,0,-2.11038343635942,0.0422001642609597,95.4354788327191,101.131111663643,276,-0.524871158014051,0.460129263829146,1,"USA",102,"PGA Tour","PGA Tour",-2.29427786654362,0.496550920042457,4.93541289395667e-07,2.84992103384992,2.79531560820363,2015-06-03
3,4,"Henrik Stenson","5994",-1.89029924927334,0.546807127411821,2.75061479311143,3,0,-1.90122304694267,0.0109237976693279,84.2461719841623,89.2832402042531,375,-0.474226618081094,0.364899243227277,1,"SWE",82,"PGA Tour","PGA Tour",-2.12584935092984,0.499446792652389,3.12514334240906e-06,2.62161531919833,2.69571580577313,2015-06-03
4,5,"Jim Furyk","2881",-1.80555428870654,0.561926454388384,2.77198697229185,4,0,-1.82033441773162,0.0147801290250789,70.9987664107305,75.7987895510183,333,-0.648969029566404,0.366210064205099,1,"USA",68,"PGA Tour","PGA Tour",-2.06647557633525,0.504024678696129,6.7230757368984e-06,2.65682537097819,2.71443372260482,2015-06-03
5,12,"Adam Scott","6430",-1.74854412358834,0.562316321259015,2.75970837160476,7,-2,-1.76156503876752,0.0130209151791751,72.8071758659465,77.7062875378387,311,-0.374006179418579,0.384333454841919,1,"AUS",76,"PGA Tour","PGA Tour",-2.01355954171684,0.503371588249727,1.0676883375633e-05,2.62569957443268,2.70181247520089,2015-06-03
6,10,"Jason Day","9771",-1.74814751356193,0.578003861821956,2.8597390197013,6,0,-1.76232900976377,0.0141814962018407,62.1096650973618,66.7810571707032,283,-0.664083484139318,0.377201220294861,1,"AUS",68,"PGA Tour","PGA Tour",-2.03892694880663,0.508407680937086,1.03718703572292e-05,2.89462432429685,2.80071755029333,2015-06-03
7,6,"Justin Rose","6093",-1.7415696398017,0.551131654923567,2.63327958260278,8,-1,-1.75195458240748,0.0103849426057769,83.14101907685,88.2513933952762,359,-0.524357651746521,0.387383829620294,1,"ENG",88,"PGA Tour","PGA Tour",-1.97018056582233,0.49983443379206,1.37784543180289e-05,2.33284432455018,2.5749592732884,2015-06-03
8,9,"Sergio Garcia","5689",-1.67642230552657,0.55244238381448,2.85258463541065,5,3,-1.79915177007694,0.122729464550371,83.1132132048508,88.2590567880577,353,-0.407598612655684,0.396048599192131,1,"ESP",92,"PGA Tour","PGA Tour",-1.90671741071024,0.499866608368659,2.44169867074762e-05,2.86579646104692,2.79857937438735,2015-06-03
9,8,"Dustin Johnson","12422",-1.6235661826439,0.576601247622566,2.87482525320563,11,-2,-1.59117130532208,-0.0323948773218212,63.1671702712324,67.8708489197646,298,-0.533743595514884,0.381108934708896,1,"USA",54,"PGA Tour","PGA Tour",-1.90736535474649,0.507725943784475,3.2376425431792e-05,2.93730674985381,2.81640750561933,2015-06-03
10,18,"Matt Kuchar","6169",-1.61050616598233,0.543826447157279,2.69811197389238,9,1,-1.65623618537364,0.0457300193913126,92.4132973684856,97.7266366898396,387,-0.604582391084875,0.392441212031104,1,"USA",94,"PGA Tour","PGA Tour",-1.80800683367627,0.49729270273758,5.26661246752281e-05,2.50925880714669,2.64273741015518,2015-06-03
11,3,"Bubba Watson","7334",-1.6038143750915,0.56073079249495,2.76413385492541,10,1,-1.61755916141774,0.0137447863262403,72.2238141550834,77.0559222528732,331,-0.540440984624982,0.368883342253138,1,"USA",80,"PGA Tour","PGA Tour",-1.85233346616918,0.503588357326004,4.48537864273351e-05,2.63765501954159,2.70666158695408,2015-06-03
12,19,"Phil Mickelson","1547",-1.55776803233079,0.567952437881948,2.81514652716976,12,0,-1.57169454549453,0.0139265131637405,66.4870581814654,71.1888192129497,322,-0.570964736784381,0.361502242497865,1,"USA",65,"PGA Tour","PGA Tour",-1.8209194014012,0.506136031612462,6.37902748141531e-05,2.76981598968076,2.75725950859543,2015-06-03
