"Player_ID","Player_Name","Event_Name","Event_ID","Rank","OWGR_Rank","Projected_Rating","Projected_Stdev","Recent_Tour","Rounds_Last_Year","Win","Top_5","Top_10","Win_Rank"
7457,"Rafael Cabrera Bello","Masters Tournament",6149,67,33,-0.803807931676505,2.91950146799088,"European Tour",97,0.0062,0.039568,0.088654,44
11049,"Webb Simpson","Masters Tournament",6149,48,83,-0.963393106321831,2.76181046970773,"PGA Tour",80,0.005972,0.04147,0.095692,45
7899,"Scott Piercy","Masters Tournament",6149,68,47,-0.80338479917883,2.89803204833591,"PGA Tour",91,0.005958,0.0384,0.087274,46
15326,"Andy Sullivan","Masters Tournament",6149,63,30,-0.851281515816325,2.84522389119048,"European Tour",95,0.005836,0.03853,0.0893,47
12808,"Emiliano Grillo","Masters Tournament",6149,53,36,-0.926637849310089,2.76470007881904,"European Tour",104,0.005608,0.03919,0.091562,48
1435,"Ian Poulter","Masters Tournament",6149,59,62,-0.884130087000665,2.79890179053492,"PGA Tour",93,0.005596,0.038106,0.088536,49
17606,"Daniel Berger","Masters Tournament",6149,62,53,-0.853515513325885,2.82591788395805,"PGA Tour",88,0.005558,0.037696,0.087282,50
8117,"Martin Kaymer","Masters Tournament",6149,69,50,-0.785644684799041,2.85567786698828,"European Tour",86,0.005384,0.035308,0.081866,51
12451,"Chris Wood","Masters Tournament",6149,64,46,-0.829984671751298,2.79416629193487,"European Tour",88,0.005212,0.034658,0.081816,52
10198,"Victor Dubuisson","Masters Tournament",6149,87,48,-0.641767945551571,2.96996572234272,"European Tour",72,0.005162,0.033308,0.075272,53
7548,"Graeme McDowell","Masters Tournament",6149,66,63,-0.824033558098631,2.78285582361367,"PGA Tour",90,0.005022,0.034054,0.081122,54
14815,"David Lingmerth","Masters Tournament",6149,94,42,-0.584101942117225,2.99172593493323,"PGA Tour",95,0.00492,0.031558,0.07206,55
4052,"Lee Westwood","Masters Tournament",6149,77,67,-0.723852830405414,2.82281981798529,"European Tour",81,0.00449,0.030866,0.073788,56
5973,"Thongchai Jaidee","Masters Tournament",6149,56,41,-0.90163659542722,2.65529883094416,"European Tour",110,0.00427,0.032152,0.080124,57
12423,"Chris Kirk","Masters Tournament",6149,82,52,-0.67215933316183,2.86943445620033,"PGA Tour",71,0.004262,0.030232,0.0714,58
18631,"Smylie Kaufman","Masters Tournament",6149,76,49,-0.727098264849425,2.7997790433967,"Web.com Tour",103,0.004154,0.03005,0.072402,59
17646,"Matthew Fitzpatrick","Masters Tournament",6149,85,43,-0.649868738801255,2.80854531235554,"European Tour",103,0.00344,0.02658,0.065672,60
12321,"Kiradech Aphibarnrat","Masters Tournament",6149,133,37,-0.388834156457094,2.96905549917539,"European Tour",107,0.003224,0.022566,0.054128,61
12846,"Jim Herman","Masters Tournament",6149,90,68,-0.604071863590526,2.77873637830011,"PGA Tour",92,0.003162,0.023864,0.060074,62
