"Player_ID","Player_Name","Event_Name","Event_ID","Rank","OWGR_Rank","Projected_Rating","Projected_Stdev","Recent_Tour","Rounds_Last_Year","Win","Top_5","Top_10","Win_Rank"
13900,"Shane Lowry","Masters Tournament",6149,45,32,-0.995350730353431,2.18914891020888,"European Tour",82,0.00485,0.0359,0.08857,38
7899,"Scott Piercy","Masters Tournament",6149,68,47,-0.80338479917883,2.29803204833591,"PGA Tour",91,0.00466,0.03083,0.07444,39
11826,"Danny Lee","Masters Tournament",6149,49,38,-0.953970597826307,2.18738511020095,"PGA Tour",108,0.00458,0.03372,0.08194,40
14577,"Harris English","Masters Tournament",6149,36,72,-1.07772839143113,2.0949492443773,"PGA Tour",98,0.00456,0.03715,0.09403,41
7457,"Rafael Cabrera Bello","Masters Tournament",6149,67,33,-0.803807931676505,2.31950146799088,"European Tour",97,0.00455,0.03126,0.07418,42
12669,"Anirban Lahiri","Masters Tournament",6149,60,51,-0.879548105432993,2.2658459667452,"PGA Tour",98,0.00439,0.03366,0.07934,43
7084,"Jamie Donaldson","Masters Tournament",6149,50,56,-0.946054126567662,2.19485019698496,"European Tour",88,0.00427,0.03312,0.08308,44
14852,"Robert Streb","Masters Tournament",6149,44,53,-0.999637486987593,2.1671367263198,"PGA Tour",105,0.00422,0.03488,0.08745,45
11049,"Webb Simpson","Masters Tournament",6149,48,83,-0.963393106321831,2.16181046970773,"PGA Tour",80,0.00408,0.03247,0.08113,46
15326,"Andy Sullivan","Masters Tournament",6149,63,30,-0.851281515816325,2.24522389119048,"European Tour",95,0.00402,0.02941,0.07479,47
12808,"Emiliano Grillo","Masters Tournament",6149,53,36,-0.926637849310089,2.16470007881904,"European Tour",104,0.00393,0.03022,0.07789,48
1435,"Ian Poulter","Masters Tournament",6149,59,62,-0.884130087000665,2.19890179053492,"PGA Tour",93,0.00375,0.02922,0.07433,49.5
17606,"Daniel Berger","Masters Tournament",6149,62,53,-0.853515513325885,2.22591788395805,"PGA Tour",88,0.00375,0.02969,0.07357,49.5
10198,"Victor Dubuisson","Masters Tournament",6149,87,48,-0.641767945551571,2.36996572234272,"European Tour",72,0.0035,0.02582,0.0623,51
8117,"Martin Kaymer","Masters Tournament",6149,69,50,-0.785644684799041,2.25567786698828,"European Tour",86,0.00347,0.02692,0.06865,52
7548,"Graeme McDowell","Masters Tournament",6149,66,63,-0.824033558098631,2.18285582361367,"PGA Tour",90,0.00319,0.02514,0.06526,53
14815,"David Lingmerth","Masters Tournament",6149,94,42,-0.584101942117225,2.39172593493323,"PGA Tour",95,0.00306,0.02331,0.05772,54
12423,"Chris Kirk","Masters Tournament",6149,82,52,-0.67215933316183,2.26943445620033,"PGA Tour",71,0.00302,0.02208,0.05622,55
12451,"Chris Wood","Masters Tournament",6149,64,46,-0.829984671751298,2.19416629193487,"European Tour",88,0.00289,0.02648,0.06582,56
4052,"Lee Westwood","Masters Tournament",6149,77,67,-0.723852830405414,2.22281981798529,"European Tour",81,0.0026,0.02202,0.05846,57
18631,"Smylie Kaufman","Masters Tournament",6149,76,49,-0.727098264849425,2.1997790433967,"Web.com Tour",103,0.00244,0.02097,0.05709,58
5973,"Thongchai Jaidee","Masters Tournament",6149,56,41,-0.90163659542722,2.05529883094416,"European Tour",110,0.00231,0.02283,0.06469,59
17646,"Matthew Fitzpatrick","Masters Tournament",6149,85,43,-0.649868738801255,2.20854531235554,"European Tour",103,0.0021,0.01929,0.05014,60
12321,"Kiradech Aphibarnrat","Masters Tournament",6149,133,37,-0.388834156457094,2.36905549917539,"European Tour",107,0.00193,0.0146,0.03873,61
