"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Jason Day","9771",-2.50004498625086,0.537979643718109,2.84902165080125,1,0,-2.37504943404605,-0.124995552204807,67.3723723531208,72.257848470436,286,-0.739275752926683,0.41128909935172,13.3768,1,"AUS",71,"PGA Tour","PGA Tour",-2.82230036940856,0.457372367751592,2.0106097901261e-21,2.87930298739366,2.79776737233087,2016-05-16
2,3,"Rory McIlroy","10091",-2.36374966565127,0.522020898085515,2.85137354647378,2,0,-2.35035720769123,-0.0133924579600424,76.0629821740665,81.0633325822245,334,-0.590679894621154,0.394502125810547,8.8325,1,"NIR",78,"PGA Tour","PGA Tour",-2.64972307049906,0.453588149182036,3.4713064580338e-20,2.88358631873358,2.80318127909924,2016-05-16
3,2,"Jordan Spieth","14636",-2.2577681583888,0.506911387727542,2.85186039969991,3,0,-2.32229932757701,0.0645311691882133,86.9472775607716,92.0948581217678,354,-0.55817642002543,0.37898381806024,10.9036,1,"USA",92,"PGA Tour","PGA Tour",-2.50603412633678,0.449498062168829,3.03664919723413e-19,2.88110767532727,2.80644768067546,2016-05-16
4,10,"Justin Rose","6093",-2.03048118262763,0.509507867669983,2.81210305578719,5,-1,-2.02177495795219,-0.00870622467543525,87.6110402973284,92.8574310426512,366,-0.630099349520957,0.398669103664577,6.0223,1,"ENG",98,"PGA Tour","PGA Tour",-2.26209696123891,0.449467247608731,3.59935825580277e-17,2.78598571099563,2.76556058135598,2016-05-16
5,6,"Henrik Stenson","5994",-1.91562579148564,0.507897773399776,2.7741255216564,4,1,-2.04672851068953,0.131102719203887,86.6297481724889,91.7839700040958,389,-0.57060647392889,0.381906185000833,7.0661,1,"SWE",96,"PGA Tour","PGA Tour",-2.14405122338205,0.449868949489738,3.48195537041634e-16,2.69701536993099,2.72723527802076,2016-05-16
6,4,"Bubba Watson","7334",-1.90988250701498,0.519210392775217,2.68783254033258,6,0,-1.96109295545653,0.0512104484415463,78.5980411436916,83.6613753514194,329,-0.574992232016601,0.397804877826355,7.8611,1,"USA",86,"PGA Tour","PGA Tour",-2.15952592885441,0.452457828608374,3.85987106151905e-16,2.47217662903267,2.63720767724214,2016-05-16
7,8,"Dustin Johnson","12422",-1.90581086380729,0.531479926014312,2.85797074650953,7,0,-1.92157190696199,0.0157610431546982,70.9818991470126,75.9294898745214,308,-0.725312775081533,0.407876020479729,6.6809,1,"USA",82,"PGA Tour","PGA Tour",-2.17247871557948,0.455661859976695,4.89607375052426e-16,2.9022764084775,2.8081178529663,2016-05-16
8,5,"Rickie Fowler","12965",-1.8510045947187,0.512313131548211,2.77978454100664,8,0,-1.90866794480245,0.0576633500837471,84.8686068225978,90.0628498316918,350,-0.662457784248565,0.399262594856886,7.4039,1,"USA",91,"PGA Tour","PGA Tour",-2.07685121050802,0.450257207261541,1.2537185637471e-15,2.70800300603463,2.73216715258469,2016-05-16
9,14,"Hideki Matsuyama","13562",-1.84980435264365,0.511278791965695,2.76918387067365,9,0,-1.79159506886674,-0.0582092837769077,84.523448807617,89.6747369810284,331,-0.599661516748555,0.390729009927154,4.7399,1,"JPN",92,"PGA Tour","PGA Tour",-2.07860876791026,0.450333492160501,1.22804282275344e-15,2.68290204637906,2.72157551915893,2016-05-16
10,7,"Adam Scott","6430",-1.80022589595869,0.524150707439111,2.80164125365125,10,0,-1.75793178768517,-0.0422941082735233,76.1952630984325,81.2524884419905,322,-0.448126030006497,0.408745971923819,6.8741,1,"AUS",82,"PGA Tour","PGA Tour",-2.0562793822354,0.453448480564453,2.84786886446674e-15,2.75545427419363,2.75217364097028,2016-05-16
