"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
24,"Lee Westwood","4052",-1.5092512725456,0.632778103726735,2.89508675138484,89.9533770495443,342,-0.723442163864804,0.415901142761207,1,"ENG",96,"PGA Tour","PGA Tour",-1.7016333587888,0.59910352948729,7.11099201686448e-14,2.92108228141682,2.82508746227228
25,"Hunter Mahan","7636",-1.46805238986833,0.632277366391311,2.88372193939508,83.2713255086018,372,-0.864306444702414,0.371745301568956,1,"USA",91,"PGA Tour","PGA Tour",-1.66432691795999,0.600638419489163,1.31581847038875e-13,2.90132020897891,2.81355247964167
26,"Hideki Matsuyama","13562",-1.45768512781339,0.675950815494867,2.76179698596798,68.3905236319449,151,0.222574059203992,0.577365663806379,0,"JPN",84,"Japan Golf Tour","Japan Golf Tour",-1.76276263331197,0.606225887645078,6.44575846669525e-14,2.5563944146905,2.67780004607021
27,"Charles Howell-III","6892",-1.39322010183276,0.626542525609843,2.62690508684619,93.359038195353,412,-0.619605267209814,0.383879261568861,1,"USA",105,"PGA Tour","PGA Tour",-1.57556263373094,0.597899610283859,3.09903841762607e-13,2.30607833559708,2.55109286363724
28,"Rickie Fowler","12965",-1.3860245377618,0.633456467877989,2.87992384204704,83.5262276920819,378,-0.683635272921583,0.384019756576157,1,"USA",90,"PGA Tour","PGA Tour",-1.58488779211783,0.600489727023294,3.48719105927088e-13,2.89116826151171,2.80939392739689
29,"Ryan Moore","7489",-1.38410231738102,0.637351654000463,3.00222894233968,83.6518532492793,336,-0.821900254267336,0.417431357556104,1,"USA",91,"PGA Tour","PGA Tour",-1.57754849988799,0.600421347012375,3.79405172046387e-13,3.18646972514465,2.93379642977575
30,"Graham Delaet","10252",-1.33817880093651,0.642116212283671,2.78397126728212,80.1662788217958,287,-0.718827233699003,0.433020844433856,1,"CAN",104,"PGA Tour","PGA Tour",-1.5417677645753,0.601270149969545,6.34058063119557e-13,2.64996087632589,2.70890804328514
31,"Bo Van Pelt","6457",-1.3279080218902,0.633209524958146,2.92329746495664,78.1707859345391,380,-0.73696713186795,0.345327293983882,1,"USA",81,"PGA Tour","PGA Tour",-1.53222158342448,0.601890620515373,7.51757637653467e-13,3.00673760667913,2.85389449106378
32,"Brendon de Jonge","8767",-1.3107810017171,0.618228236141614,2.64238913836591,119.797048198734,476,-0.548550423508017,0.417663626781256,1,"ZIM",136,"PGA Tour","PGA Tour",-1.45600609950503,0.593522072130481,9.17457413143345e-13,2.39534439367846,2.56904928068563
33,"Martin Kaymer","8117",-1.30446259450718,0.631802069658983,2.73134542268651,96.3464713267227,359,-0.487371128492269,0.440579763351224,1,"GER",106,"European Tour","European Tour",-1.48428323552565,0.597841484416279,9.46645968695733e-13,2.54658256995129,2.65726813904905
