"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Jason Day","9771",-2.51391627437713,0.577855152532465,2.84498721748054,1,0,-2.51996190801915,0.00604563364202271,68.4282550827883,73.350990279425,284,-0.752713780541526,0.415832668804828,13.2923,1,"AUS",77,"PGA Tour","PGA Tour",-2.83248357014183,0.510973567675735,1.46196273638421e-17,2.84565442113796,2.78568406146845,2016-07-11
2,4,"Rory McIlroy","10091",-2.43069294508103,0.563550531504748,2.83590893168065,2,0,-2.43104117401313,0.000348228932096184,77.4104643426822,82.4597589923343,334,-0.540897736175578,0.400280417591525,9.1348,1,"NIR",80,"PGA Tour","PGA Tour",-2.71945854843116,0.507307806201582,5.81270578274744e-17,2.82295370540521,2.77935069165926,2016-07-11
3,3,"Jordan Spieth","14636",-2.25050180848479,0.548827768777506,2.83996234011184,3,0,-2.2501449480933,-0.000356860391485192,92.2039040173506,97.5384791495901,368,-0.579789745306267,0.397938710251201,10.9648,1,"USA",96,"PGA Tour","PGA Tour",-2.48674151954111,0.502320312564209,1.36286768799045e-15,2.83185954932923,2.78642677518578,2016-07-11
4,2,"Dustin Johnson","12422",-2.21693421163324,0.568231141521693,2.87317511982939,4,0,-2.22013029276961,0.00319608113636649,78.6003375835357,83.8344582436106,310,-0.694190666716102,0.44125018120486,11.0472,1,"USA",90,"PGA Tour","PGA Tour",-2.48425506666379,0.50668476567642,2.47146002645657e-15,2.91361078822607,2.81642479732934,2016-07-11
5,6,"Henrik Stenson","5994",-2.04326943043011,0.552740759261024,2.79153180339372,5,0,-2.05080638880663,0.00753695837652124,84.91057907879,90.020939766963,383,-0.46529356753883,0.379307432747264,6.9662,1,"SWE",92,"European Tour","European Tour",-2.28778508905785,0.504794147654029,4.17285136807627e-14,2.71765474341914,2.73626158515778,2016-07-11
6,11,"Justin Rose","6093",-1.85658234122739,0.555944575281616,2.83200877387592,6,0,-1.85526804086759,-0.00131430035980196,80.1197758743732,85.0985376116311,356,-0.644956669906169,0.369137761837117,5.362,1,"ENG",92,"PGA Tour","PGA Tour",-2.09372517306587,0.506263869088123,8.66273472477307e-13,2.81552221761338,2.77690463007377,2016-07-11
7,12,"Sergio Garcia","5689",-1.83141692516699,0.560699338422482,2.76596738997966,7,0,-1.81987996299061,-0.0115369621763834,77.7532478972646,82.7452618122436,342,-0.371347961445789,0.383781759689416,5.2157,1,"ESP",81,"PGA Tour","PGA Tour",-2.08665650759725,0.507162260206203,1.05117427487385e-12,2.64722042646266,2.70854053953849,2016-07-11
8,15,"Matt Kuchar","6169",-1.80632335692132,0.54561265125935,2.65591456364755,8,0,-1.8057761474006,-0.000547209520716851,98.2021831807367,103.70246164428,405,-0.619050347804563,0.407379632255516,4.306,1,"USA",110,"PGA Tour","PGA Tour",-2.00447483435114,0.500665863678655,1.7646216019248e-12,2.42275063656307,2.59926701286745,2016-07-11
9,8,"Adam Scott","6430",-1.74828479797339,0.566166194396935,2.77595050685299,10,-1,-1.74657508322751,-0.00170971474587667,75.8610808203078,80.9009083510279,320,-0.490842321582139,0.405959818676328,6.4354,1,"AUS",84,"PGA Tour","PGA Tour",-1.99971222936428,0.50779912607977,3.8254976797901e-12,2.66848728335338,2.71760134251134,2016-07-11
10,5,"Bubba Watson","7334",-1.74815714888999,0.56178629895696,2.69914772812773,9,1,-1.74755219465731,-0.000604954232682697,78.0583122185162,83.0972054321689,333,-0.610300985539098,0.394293232819284,7.158,1,"USA",88,"PGA Tour","PGA Tour",-1.98706812003326,0.506902992832517,4.18426352483369e-12,2.47803282620138,2.64003685818235,2016-07-11
11,7,"Rickie Fowler","12965",-1.67128349592395,0.555981513359532,2.80251769373518,11,0,-1.67373392983609,0.00245043391214117,83.4947121202739,88.6388836878258,350,-0.665298983561169,0.393838490079089,6.6431,1,"USA",95,"PGA Tour","PGA Tour",-1.88893686509849,0.505011646459134,1.35671909216026e-11,2.74242704253745,2.74681451512496,2016-07-11
12,19,"Phil Mickelson","1547",-1.59815130220822,0.567889594147366,2.76497547378331,12,0,-1.59501757031022,-0.00313373189800381,77.2121710349561,82.3690281979705,321,-0.571532898854932,0.429169945827387,3.8338,1,"USA",82,"PGA Tour","PGA Tour",-1.8332363098177,0.507054693728063,3.46409441047021e-11,2.64053748514979,2.70602859916195,2016-07-11
