"Player_ID","estimate","std.error","p.value","Player_Name","Rounds_Player","Rounds_Last_Year","Primary_Player","Country","Common_Tour","Weight_Sum","Center_Wt","Recent_Tour","Sample_Stdev","Avg_SoS","Prior_Tournament_SoS_Weight","Total_Weight","Projected_Rating","Expected_Stdev","Rating_StdErr","Projected_Stdev","Rank","OWGR_Rank","Player_Avg_OWGR_Pts","Rating_Date"
"9771",-2.90178638778002,0.613886915591801,6.70242379795384e-13,"Jason Day",282,65,1,"AUS","PGA Tour",61.2058901937806,0.363000070143067,"PGA Tour",2.64105796243958,-0.7942008453571,3.11088712167556,65.8167773154562,-2.55371191136467,2.71215850457055,0.659828203301562,2.79126799354461,1,1,11.539,2016-11-22
"10091",-2.78639097597614,0.623408529920745,5.55877104602139e-12,"Rory McIlroy",326,78,1,"NIR","PGA Tour",77.2786017810641,0.399629249546256,"PGA Tour",2.78504520561053,-0.711172458546637,3.54413948178753,82.3227412628516,-2.50051067141026,2.76408500198995,0.658248209989684,2.84138286828446,2,2,10.5521,2016-11-22
"5994",-2.68767605913765,0.622344288417897,1.54415823304756e-11,"Henrik Stenson",374,76,1,"SWE","European Tour",80.9462023743885,0.372074648099916,"European Tour",2.79958531420764,-0.5761913124783,3.50590148817376,85.9521038625623,-2.41503384852059,2.77048390236714,0.651947076644319,2.84615811999624,3,4,8.6658,2016-11-22
"12422",-2.52682426469866,0.623359255816437,9.50208774061628e-11,"Dustin Johnson",304,86,1,"USA","PGA Tour",76.9601933566269,0.414219282100005,"PGA Tour",3.00746841103168,-0.803634482529629,3.59391980212298,82.0541131587499,-2.2589127434874,2.8532235816694,0.660173870386859,2.92860279760433,4,3,10.0859,2016-11-22
"14636",-2.42609890856142,0.620754050083662,2.30395563521786e-10,"Jordan Spieth",388,92,1,"USA","PGA Tour",85.417946887893,0.364358074165743,"PGA Tour",2.59424852530811,-0.609596365204756,3.55613593136322,90.4740828192562,-2.18184245811657,2.68361886298344,0.64743465970343,2.76061258425477,5,5,8.6587,2016-11-22
"13562",-2.3167400298156,0.620232013955034,6.88996948307129e-10,"Hideki Matsuyama",359,82,1,"JPN","PGA Tour",87.716568352699,0.40431411252904,"PGA Tour",2.86407952801441,-0.610160250737448,3.77325232438072,92.9898206770797,-2.08107481395319,2.7993628359933,0.650364156447855,2.87391820056393,6,6,6.9084,2016-11-22
"6093",-2.11663458431174,0.625022446395426,6.5858292331497e-09,"Justin Rose",348,66,1,"ENG","PGA Tour",72.4933803447121,0.338300988052644,"PGA Tour",2.83188626358656,-0.735641734585782,3.22622910989461,77.2196094546067,-1.86241999623681,2.78166091538951,0.655613545388914,2.85787798359256,7,15,4.9386,2016-11-22
"7108",-2.05542134960048,0.621106719916502,9.51380453792678e-09,"Paul Casey",357,82,1,"ENG","PGA Tour",84.2303657179777,0.400563879827642,"PGA Tour",2.60491776049535,-0.74340677553195,3.68698210456472,89.4173478225424,-1.83264012464787,2.68866231159783,0.652399240097159,2.76668209129382,8,13,5.0077,2016-11-22
"5689",-2.06821239240738,0.623194766691039,9.44130259613465e-09,"Sergio Garcia",348,79,1,"ESP","PGA Tour",77.8610205684733,0.386287993387158,"PGA Tour",2.60006493797226,-0.53698376025786,3.50383886992359,82.8648594383969,-1.82121388028304,2.68946886253082,0.656118713863933,2.76834508853309,9,14,4.9579,2016-11-22
"6430",-2.02184717081442,0.621519570375888,1.3363985925202e-08,"Adam Scott",318,90,1,"AUS","PGA Tour",83.1375663730825,0.432920578857696,"PGA Tour",2.88473780956596,-0.542552785451191,3.79959816795275,88.4371645410353,-1.78830853239361,2.80653533446889,0.657134589140167,2.88244105783047,10,7,6.7541,2016-11-22
"1547",-1.96912830721827,0.624685052629315,2.57439342798565e-08,"Phil Mickelson",309,80,1,"USA","PGA Tour",72.8487962540178,0.396899795105853,"PGA Tour",2.70459484175682,-0.71033356776925,3.44568361534638,77.7944798693642,-1.72115311795002,2.7323916299295,0.662057046232934,2.81145577090864,11,18,4.3969,2016-11-22
"6169",-1.84477591531398,0.617225650992495,5.51088609126579e-08,"Matt Kuchar",413,104,1,"USA","PGA Tour",100.119580590194,0.401842297894061,"PGA Tour",2.53458894010801,-0.702069270575415,4.01161411642766,105.631194706622,-1.66157944542943,2.64974476097571,0.642589259662374,2.72654878095949,12,22,4.0913,2016-11-22
"12965",-1.87033084619726,0.621867459967474,5.49444220288089e-08,"Rickie Fowler",356,85,1,"USA","PGA Tour",81.7227097890119,0.378150816760214,"PGA Tour",2.78964567383136,-0.744028669187701,3.54517547272864,86.7678852617405,-1.65367885490573,2.76646963840822,0.651808691546099,2.84221899765123,13,12,5.1171,2016-11-22
"16243",-1.86124732385796,0.621320212113411,5.80565125852633e-08,"Brooks Koepka",356,80,1,"USA","PGA Tour",83.1102084815509,0.383494724274341,"PGA Tour",2.74687922651207,-0.561915955932281,3.59361632430077,88.2038248058516,-1.64060871274243,2.74869078864136,0.651211492813785,2.82477918781887,14,17,4.5278,2016-11-22
"7334",-1.76805063802619,0.622493208436431,1.40381184479001e-07,"Bubba Watson",337,85,1,"USA","PGA Tour",79.6440812087435,0.392008025528572,"PGA Tour",2.41155794286043,-0.731373584355994,3.56105595098384,84.7051371597274,-1.55149067999591,2.61151694664493,0.655117623082729,2.69243381769864,15,10,5.356,2016-11-22
