"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Total_Weight","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Tiger Woods","5321",-3.11389796470515,0.704221288828963,2.74211036444323,26.441620797437,30.3667861013164,112,-0.804654505126436,0.321587929224539,1,"USA",16,NA,"PGA Tour",-3.95617402009723,0.491831840902831,5.9595348725469e-20,2.21582810358288,2.65013992595619,2009-04-08
2,3,"Sergio Garcia","5689",-1.97539475047579,0.498752540254279,2.73174369403561,77.5548746251662,82.7975923288953,216,-0.560066270984003,0.449415388046683,1,"ESP",94,"PGA Tour","PGA Tour",-2.23663257956675,0.411588401431434,1.47672413126456e-11,2.5906712377439,2.68582752862004,2009-04-08
3,2,"Phil Mickelson","1547",-1.89660364834288,0.512607956409533,2.87087774565495,68.4836306448188,73.4919727505367,191,-0.604151333932206,0.440497120703413,1,"USA",82,"PGA Tour","PGA Tour",-2.17958032706632,0.417144941520124,6.86917332838194e-11,2.95025351407279,2.82474284024625,2009-04-08
4,12,"Steve Stricker","4818",-1.73023401687813,0.523970691714373,2.82099632933751,63.3256194446101,68.2291574603677,184,-0.736892685831359,0.443276521593377,1,"USA",68,"PGA Tour","PGA Tour",-2.01410373920878,0.420907730158208,1.26306472292105e-09,2.81169369180475,2.77190818829918,2009-04-08
5,5,"Padraig Harrington","5716",-1.71872039924247,0.499766431693368,2.72676832729338,76.624750938879,81.8381857132917,223,-0.415932626280688,0.447227495924776,1,"IRL",85,"PGA Tour","PGA Tour",-1.97210977774952,0.412101488190165,1.06149580420316e-09,2.57638832127889,2.68057811385582,2009-04-08
6,15,"Jim Furyk","2881",-1.70120337333607,0.508747002666477,2.74052142057865,67.415201821568,72.2936489883398,209,-0.714540459890884,0.408942532107275,1,"USA",83,"PGA Tour","PGA Tour",-1.9665024913574,0.41782605396054,1.93842822567964e-09,2.5954578365854,2.69288583937907,2009-04-08
7,9,"Robert Karlsson","4331",-1.67655777318708,0.504569432610271,2.70077000035633,69.9590879717437,74.8865114857693,217,-0.264787682024226,0.4080737915286,1,"SWE",82,"European Tour","European Tour",-1.95319903921455,0.417260843236228,2.24328660952896e-09,2.49412727650172,2.65321847620961,2009-04-08
8,34,"Luke Donald","4163",-1.59648692364595,0.56039209918986,2.72240459518223,48.0872408658956,52.5247668133065,167,-0.58397510595134,0.389927111861292,1,"ENG",42,"PGA Tour","PGA Tour",-1.95768481749986,0.437973865101752,1.15251955144469e-08,2.45868316765155,2.66410350306344,2009-04-08
9,4,"Geoff Ogilvy","5698",-1.58841369982912,0.512429917304305,2.78594112675781,69.5786423369587,74.6490062282049,198,-0.590722425424601,0.451392507385014,1,"AUS",78,"PGA Tour","PGA Tour",-1.84631958657502,0.416203763194833,9.60714182531721e-09,2.71925117524759,2.73840894345824,2009-04-08
10,13,"Lee Westwood","4052",-1.56385279067939,0.49730746354024,2.80038750405373,76.0586806916438,81.1748308448003,231,-0.0918526990484193,0.424974542934477,1,"ENG",80,"European Tour","European Tour",-1.82245249769453,0.413452820227764,1.07803219441096e-08,2.76476179232456,2.75587653198895,2009-04-08
11,11,"Kenny Perry","604",-1.55220373475712,0.500352840196249,2.75685977338894,77.4242168490455,82.7042921292876,212,-0.609319985840338,0.459823903343504,1,"USA",94,"PGA Tour","PGA Tour",-1.78330038489751,0.410930234546243,1.53329464627235e-08,2.65325658234253,2.71107411286332,2009-04-08
12,16,"Ernie Els","874",-1.53518733042932,0.493200457837805,2.77358311382642,82.1112612401062,87.4831336085289,237,-0.395697227665594,0.455935602535471,1,"RSA",91,"PGA Tour","PGA Tour",-1.76310663109505,0.40885661190659,1.72937776397865e-08,2.70050151328076,2.72938025890341,2009-04-08
13,29,"Robert Allenby","4949",-1.5219703890919,0.480559494800922,2.68851882809125,89.1746875107315,94.6178900640475,260,-0.478999852235514,0.435819313206373,1,"AUS",104,"PGA Tour","PGA Tour",-1.72825762352028,0.40519199672915,2.11799021775839e-08,2.51009845395172,2.64522136331874,2009-04-08
14,6,"Paul Casey","7108",-1.49906538762881,0.509309360528433,2.84010948206815,70.484349488576,75.5371250179191,207,-0.364405240501357,0.440601506748627,1,"ENG",84,"European Tour","European Tour",-1.75841077449715,0.416444544104097,3.33047920024895e-08,2.86597257468001,2.79406976387697,2009-04-08
15,10,"Camilo Villegas","9171",-1.43369835841783,0.503051735550583,2.82087125786645,73.4255434194638,78.5336803346078,214,-0.532241337654608,0.438032009094452,1,"COL",90,"PGA Tour","PGA Tour",-1.67071571070678,0.413731293849253,8.92410533577698e-08,2.81583291011111,2.77565372566835,2009-04-08
16,14,"Anthony Kim","11641",-1.42284045661913,0.505962998865137,2.84112576853801,70.7799354749551,75.7958143549976,210,-0.496983698311733,0.428335762068866,1,"USA",86,"PGA Tour","PGA Tour",-1.66852393726542,0.415526733362079,1.04344398212864e-07,2.86997877059548,2.79571047793403,2009-04-08
17,46,"Hunter Mahan","7636",-1.35795416662289,0.503127454770519,2.81539835318571,73.9639172280126,79.1060150801921,218,-0.679590952550163,0.444026739989254,1,"USA",81,"PGA Tour","PGA Tour",-1.5811386202534,0.413214235789916,2.78742285885351e-07,2.80129483906355,2.77007773381488,2009-04-08
18,26,"Justin Leonard","5603",-1.3385647968048,0.496572603983047,2.6581482886347,75.6134360136409,80.7133865990414,225,-0.62562961350996,0.423192138791813,1,"USA",86,"PGA Tour","PGA Tour",-1.55776365218643,0.412190022963761,3.5181597517657e-07,2.40048732941339,2.61135366684505,2009-04-08
19,19,"Mike Weir","5513",-1.33174025835994,0.509124546667443,2.72357920390071,69.4153764810653,74.4157979712112,204,-0.638448658090432,0.432302341702406,1,"CAN",81,"PGA Tour","PGA Tour",-1.56835099270554,0.416287739201339,4.00682125643743e-07,2.55226282782217,2.67557019640694,2009-04-08
