"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Aaron Baddeley",6252,"AUS","137","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Martin Laird",9586,"SCO","138","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Johnson Wagner",7927,"USA","139","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Brian Stuard",13022,"USA","143","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"J.J Spaun",17536,"USA","144","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Chez Reavie",7961,"USA","145","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Vijay Singh",653,"FIJ","152","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Grayson Murray",14655,"USA","156","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Bryce Molder",7292,"USA","157","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Jason Bohn",6462,"USA","165","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Graham Delaet",10252,"CAN","166","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Cameron Smith",15856,"AUS","170","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Derek Fathauer",12689,"USA","171","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Cameron Tringale",14013,"USA","174","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Harold Varner III",16602,"USA","181","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Sunghoon Kang",7881,"KOR","182","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Scott Brown",11330,"USA","184","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ollie Schniederjans",18662,"USA","186","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Ricky Barnes",6846,"USA","193","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Adam Hadwin",13965,"CAN","194","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"C.T. Pan",15475,"TPE","196","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Chad Campbell",6248,"USA","197","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
"Jonas Blixt",8182,"SWE","199","Shriners Hospitals for Children Open",6437,2016-11-06,"PGA Tour",NA,NA,2016-11-02
