"Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Lexus Open",4095,2008-08-10,"European Challenge Tour",NA,NA,2016-01-28
"Xerox Classic",4096,2008-08-17,"Web.com Tour",NA,NA,2016-01-28
"Trophée du Golf Club de Genève",4097,2008-08-17,"European Challenge Tour",NA,NA,2016-01-28
"Desjardins Montreal Open",4098,2008-08-17,"PGA Tour Canada",NA,NA,2016-01-28
"Northeast Pennsylvania Classic",4099,2008-08-24,"Web.com Tour",NA,NA,2016-01-28
"Ypsilon Golf Challenge",4100,2008-08-24,"European Challenge Tour",NA,NA,2016-01-28
"Jane Rogers Championship of Mississauga",4101,2008-08-24,"PGA Tour Canada",NA,NA,2016-01-28
"Vodafone Challenge",4102,2008-08-17,"European Challenge Tour",NA,NA,2016-01-28
"ECCO Tour Championship",4103,2008-08-31,"European Challenge Tour",NA,NA,2016-01-28
"KBC Augusta",4104,2008-08-31,"Japan Golf Tour",NA,NA,2016-01-28
"Seaforth Country Classic",4105,2008-08-31,"PGA Tour Canada",NA,NA,2016-01-28
"Utah Championship",4106,2008-09-07,"Web.com Tour",NA,NA,2016-01-28
"The Dubliner Challenge",4107,2008-09-07,"European Challenge Tour",NA,NA,2016-01-28
"Fujisankei Classic",4108,2008-09-07,"Japan Golf Tour",NA,NA,2016-01-28
"Canadian Tour Championship",4109,2008-09-07,"PGA Tour Canada",NA,NA,2016-01-28
"Albertsons Boise Open",4110,2008-09-14,"Web.com Tour",NA,NA,2016-01-28
"Qingdao Golf Open",4111,2008-09-14,"European Challenge Tour",NA,NA,2016-01-28
"Oregon Classic",4112,2008-09-21,"Web.com Tour",NA,NA,2016-01-28
"Kazakhstan Open",4113,2008-09-21,"European Challenge Tour",NA,NA,2016-01-28
"ANA Open",4114,2008-09-21,"Japan Golf Tour",NA,NA,2016-01-28
"Asia-Pacific Panasonic Open",4115,2008-09-28,"Asian Tour","Japan Golf Tour",NA,2016-01-28
"AGF-Allianz Open de Toulouse",4116,2008-10-05,"European Challenge Tour",NA,NA,2016-01-28
"Coca-Cola Tokai Classic",4117,2008-10-05,"Japan Golf Tour",NA,NA,2016-01-28
"Kolon-Hana Bank 51st Korea Open ",4118,2008-10-05,"Asian Tour",NA,NA,2016-01-28
"Canon Open",4119,2008-10-12,"Japan Golf Tour",NA,NA,2016-01-28
"WNB Golf Classic",4120,2008-10-12,"Web.com Tour",NA,NA,2016-01-28
"Margara Diehl-Ako Platinum Open",4121,2008-10-19,"European Challenge Tour",NA,NA,2016-01-28
"Japan Open Golf Championship",4122,2008-10-19,"Japan Golf Tour",NA,NA,2016-01-28
"Chattanooga Classic",4123,2008-10-19,"Web.com Tour",NA,NA,2016-01-28
"Miccosukee Championship",4124,2008-10-26,"Web.com Tour",NA,NA,2016-01-28
"Apulia San Domenico Grand Final",4125,2008-10-26,"European Challenge Tour",NA,NA,2016-01-28
"Bridgestone Open",4126,2008-10-26,"Japan Golf Tour",NA,NA,2016-01-28
"mynavi ABC Championship ",4127,2008-11-02,"Japan Golf Tour",NA,NA,2016-01-28
"Nationwide Tour Championship",4128,2008-11-09,"Web.com Tour",NA,NA,2016-01-28
"The Championship by Lexus",4129,2008-11-09,"Japan Golf Tour",NA,NA,2016-01-28
"Mitsui Sumitomo VISA Taiheiyo Masters",4131,2008-11-16,"Japan Golf Tour",NA,NA,2016-01-28
"Dunlop Phoenix Tournament",4132,2008-11-23,"Japan Golf Tour",NA,NA,2016-01-28
"UBS Hong Kong Open",4133,2008-11-23,"Asian Tour","European Tour",NA,2016-01-28
"Casio World Open",4134,2008-11-30,"Japan Golf Tour",NA,NA,2016-01-28
"Golf Nippon Series JT Cup ",4135,2008-12-07,"Japan Golf Tour",NA,NA,2016-01-28
"Hana Bank Vietnam Masters",4136,2008-12-07,"Asian Tour",NA,NA,2016-01-28
"The Alfred Dunhill Championship",4138,2008-12-14,"European Tour",NA,NA,2016-01-28
"South African Open Championship",4140,2008-12-21,"Sunshine Tour","European Tour",NA,2016-01-28
"Spring International Pres. by Foster Farms Dairy",4141,2008-04-13,"PGA Tour Canada",NA,NA,2016-01-28
"Stockton Sports Commission Classic Pres. By City of Stockton",4142,2008-04-20,"PGA Tour Canada",NA,NA,2016-01-28
"Iberostar Riviera Maya Open",4143,2008-05-18,"PGA Tour Canada",NA,NA,2016-01-28
"Piemonte Open",4144,2008-05-18,"European Challenge Tour",NA,NA,2016-01-28
"La Loma San Luis Potosi Open",4145,2008-05-25,"PGA Tour Canada",NA,NA,2016-01-28
"Singha Thailand PGA Championship ",4146,2008-06-29,"Asian Tour",NA,NA,2016-01-28
"Inteco Russian Open",4147,2008-07-27,"European Tour",NA,NA,2016-01-28
"Worldwide Selangor Masters ",4148,2008-08-10,"Asian Tour",NA,NA,2016-01-28
"Sport Frances Open",4149,2008-11-30,"PGA Tour Canada",NA,NA,2016-01-28
"Argentina Masters",4150,2008-12-07,"PGA Tour Canada",NA,NA,2016-01-28
"Costa Rica Classic",4151,2008-12-14,"PGA Tour Canada",NA,NA,2016-01-28
"HSBC Champions",4152,2008-11-09,"Sunshine Tour","PGA Tour Australasia","Asian Tour",2016-01-28
"Sportsbet Australian Masters",4154,2008-11-30,"PGA Tour Australasia","European Tour",NA,2016-01-28
"Joburg Open",4156,2009-01-11,"Sunshine Tour","European Tour",NA,2016-01-28
"The Abu Dhabi Golf Championship",4157,2009-01-18,"European Tour",NA,NA,2016-01-28
"Commercial Bank Qatar Masters",4158,2009-01-25,"European Tour",NA,NA,2016-01-28
"Dubai Desert Classic",4159,2009-02-01,"European Tour",NA,NA,2016-01-28
"Maybank Malaysian Open",4161,2009-02-15,"Asian Tour","European Tour",NA,2016-01-28
"Johnnie Walker Classic",4162,2009-02-22,"PGA Tour Australasia","Asian Tour","European Tour",2016-01-28
"WGC - Accenture Match Play",4163,2009-03-01,"WGC",NA,NA,2016-01-28
"Barclays Singapore Open",4164,2008-11-16,"Asian Tour","European Tour",NA,2016-01-28
"Nedbank Golf Challenge",4165,2008-12-07,"Sunshine Tour",NA,NA,2016-01-28
"The Dutch Futures",4166,2008-09-28,"European Challenge Tour",NA,NA,2016-01-28
"Cadbury Schweppes Australian PGA Championship",4167,2008-12-07,"PGA Tour Australasia",NA,NA,2016-01-28
"Australian Open",4168,2008-12-14,"PGA Tour Australasia",NA,NA,2016-01-28
"MTC Nambia PGA Championship",4169,2008-11-09,"Sunshine Tour",NA,NA,2016-01-28
"Mercedes-Benz Championship",4170,2009-01-11,"PGA Tour",NA,NA,2016-01-28
"Enjoy Jakarta Indonesia Open",4171,2009-03-01,"Asian Tour","European Tour",NA,2016-01-28
"WGC-CA Championship",4172,2009-03-15,"WGC",NA,NA,2016-01-28
"Madeira Islands Open BPI - Portugal",4173,2009-03-22,"European Tour",NA,NA,2016-01-28
"Open de Andalucia de Golf 09",4174,2009-03-29,"European Tour",NA,NA,2016-01-28
"Estoril Open de Portugal",4175,2009-04-05,"European Tour",NA,NA,2016-01-28
"Volvo China Open",4176,2009-04-19,"European Tour",NA,NA,2016-01-28
"Ballantine's Championship",4177,2009-04-26,"Asian Tour","European Tour",NA,2016-01-28
"Open de Espana",4178,2009-05-03,"European Tour",NA,NA,2016-01-28
"Italian Open",4179,2009-05-10,"European Tour",NA,NA,2016-01-28
"The 3 Irish Open",4180,2009-05-17,"European Tour",NA,NA,2016-01-28
"BMW PGA Championship",4181,2009-05-24,"European Tour",NA,NA,2016-01-28
"The European Open",4182,2009-05-31,"European Tour",NA,NA,2016-01-28
"The Celtic Manor Wales Open",4183,2009-06-07,"European Tour",NA,NA,2016-01-28
"Austrian Golf Open",4184,2009-09-20,"European Tour",NA,NA,2016-01-28
"SAINT-OMER OPEN presented by Neuflize OBC",4185,2009-06-21,"European Challenge Tour","European Tour",NA,2016-01-28
"BMW International Open",4186,2009-06-28,"European Tour",NA,NA,2016-01-28
"Open de France ALSTOM",4187,2009-07-05,"European Tour",NA,NA,2016-01-28
"The Barclays Scottish Open",4188,2009-07-12,"European Tour",NA,NA,2016-01-28
"THE 138th OPEN CHAMPIONSHIP",4189,2009-07-19,"Major Championship",NA,NA,2016-01-28
"SAS Masters",4190,2009-07-26,"European Tour",NA,NA,2016-01-28
"Moravia Silesia Open presented by ALO Diamonds",4191,2009-08-02,"European Tour",NA,NA,2016-01-28
"WGC - Bridgestone Invitational",4192,2009-08-09,"WGC",NA,NA,2016-01-28
"The KLM Open",4194,2009-08-23,"European Tour",NA,NA,2016-01-28
"Johnnie Walker Championships at Gleneagles",4195,2009-08-30,"European Tour",NA,NA,2016-01-28
"Omega European Masters",4196,2009-09-06,"Asian Tour","European Tour",NA,2016-01-28
"Mercedes-Benz Championship",4197,2009-09-13,"European Tour",NA,NA,2016-01-28
"Alfred Dunhill Links Championship",4201,2009-10-04,"European Tour",NA,NA,2016-01-28
"Madrid Masters",4202,2009-10-11,"European Tour",NA,NA,2016-01-28
"Portugal Masters",4203,2009-10-18,"European Tour",NA,NA,2016-01-28
"CASTELLÓ MASTERS Costa Azahar",4204,2009-10-25,"European Tour",NA,NA,2016-01-28
"WGC-HSBC Champions",4206,2009-11-08,"WGC",NA,NA,2016-01-28
"UBS Hong Kong Open",4207,2009-11-15,"Asian Tour","European Tour",NA,2016-01-28
"DUBAI WORLD CHAMPIONSHIP",4208,2009-11-22,"European Tour",NA,NA,2016-01-28
"Sony Open in Hawaii",4209,2009-01-18,"PGA Tour",NA,NA,2016-01-28
"The 50th Bob Hope Classic hosted by Arnold Palmer",4210,2009-01-25,"PGA Tour",NA,NA,2016-01-28
"FBR Open",4211,2009-02-01,"PGA Tour",NA,NA,2016-01-28
"Buick Invitational",4212,2009-02-08,"PGA Tour",NA,NA,2016-01-28
"AT&T Pebble Beach National Pro-Am",4213,2009-02-15,"PGA Tour",NA,NA,2016-01-28
"Northern Trust Open",4214,2009-02-22,"PGA Tour",NA,NA,2016-01-28
"Mayakoba Golf Classic at Riviera Maya-Cancun",4215,2009-03-01,"PGA Tour",NA,NA,2016-01-28
"The Honda Classic",4216,2009-03-08,"PGA Tour",NA,NA,2016-01-28
"Puerto Rico Open presented by Banco Popular",4217,2009-03-15,"PGA Tour",NA,NA,2016-01-28
"Transitions Championship",4218,2009-03-22,"PGA Tour",NA,NA,2016-01-28
"Arnold Palmer Invitational presented by MasterCard",4219,2009-03-29,"PGA Tour",NA,NA,2016-01-28
"Shell Houston Open",4220,2009-04-05,"PGA Tour",NA,NA,2016-01-28
"MASTERS TOURNAMENT",4221,2009-04-12,"Major Championship",NA,NA,2016-01-28
"Verizon Heritage",4222,2009-04-19,"PGA Tour",NA,NA,2016-01-28
"Zurich Classic of New Orleans",4223,2009-04-26,"PGA Tour",NA,NA,2016-01-28
"Quail Hollow Championship",4224,2009-05-03,"PGA Tour",NA,NA,2016-01-28
"THE PLAYERS Championship",4225,2009-05-10,"PGA Tour",NA,NA,2016-01-28
"Valero Texas Open",4226,2009-05-17,"PGA Tour",NA,NA,2016-01-28
"HP Byron Nelson Championship",4227,2009-05-24,"PGA Tour",NA,NA,2016-01-28
"Crowne Plaza Invitational at Colonial",4228,2009-05-31,"PGA Tour",NA,NA,2016-01-28
"the Memorial Tournament presented by Morgan Stanley",4229,2009-06-07,"PGA Tour",NA,NA,2016-01-28
"St. Jude Classic Presented by FedEx",4230,2009-06-14,"PGA Tour",NA,NA,2016-01-28
"U.S. OPEN CHAMPIONSHIP",4231,2009-06-21,"Major Championship",NA,NA,2016-01-28
"Travelers Championship",4232,2009-06-28,"PGA Tour",NA,NA,2016-01-28
"AT&T National",4233,2009-07-05,"PGA Tour",NA,NA,2016-01-28
"John Deere Classic",4234,2009-07-12,"PGA Tour",NA,NA,2016-01-28
"U.S. Bank Championship in Milwaukee",4235,2009-07-19,"PGA Tour",NA,NA,2016-01-28
"RBC Canadian Open",4236,2009-07-26,"PGA Tour",NA,NA,2016-01-28
"Buick Open",4237,2009-08-02,"PGA Tour",NA,NA,2016-01-28
"Legends Reno-Tahoe Open",4238,2009-08-09,"PGA Tour",NA,NA,2016-01-28
"91st PGA Championship",4239,2009-08-16,"Major Championship",NA,NA,2016-01-28
"Wyndham Championship",4240,2009-08-23,"PGA Tour",NA,NA,2016-01-28
"The Barclays",4241,2009-08-30,"PGA Tour",NA,NA,2016-01-28
"Deutsche Bank Championship",4242,2009-09-06,"PGA Tour",NA,NA,2016-01-28
"BMW Championship",4243,2009-09-13,"PGA Tour",NA,NA,2016-01-28
"THE TOUR Championship presented by Coca-Cola",4244,2009-09-27,"PGA Tour",NA,NA,2016-01-28
"Turning Stone Resort Championship",4245,2009-10-04,"PGA Tour",NA,NA,2016-01-28
"Justin Timberlake Shriners Hospitals for Children Open",4246,2009-10-18,"PGA Tour",NA,NA,2016-01-28
"Frys.com Open",4247,2009-10-25,"PGA Tour",NA,NA,2016-01-28
"Children's Miracle Network Classic",4249,2009-11-15,"PGA Tour",NA,NA,2016-01-28
"Africa Open",4250,2009-01-18,"Sunshine Tour",NA,NA,2016-01-28
"Dimension Data Pro-Am",4251,2009-01-25,"Sunshine Tour",NA,NA,2016-01-28
"Nashua Masters",4252,2009-02-01,"Sunshine Tour",NA,NA,2016-01-28
"Vodacom Championship",4253,2009-02-15,"Sunshine Tour",NA,NA,2016-01-28
"Telkom PGA Championship",4254,2009-02-22,"Sunshine Tour",NA,NA,2016-01-28
"Panama Championship",4255,2009-02-08,"Web.com Tour",NA,NA,2016-01-28
"Moonah Classic",4256,2009-03-01,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"HSBC New Zealand PGA Championship Pres'd by Christchurch",4257,2009-03-08,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"Michael Hill New Zealand Open",4258,2009-03-15,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"Chitimacha Louisiana Open Pres'd by Dynamic Industries",4259,2009-03-29,"Web.com Tour",NA,NA,2016-01-28
"Stonebrae Classic",4260,2009-04-05,"Web.com Tour",NA,NA,2016-01-28
"Athens Regional Foundation Classic",4261,2009-04-19,"Web.com Tour",NA,NA,2016-01-28
"South Georgia Classic Pres'd by First State Bank and Trust Company",4262,2009-04-26,"Web.com Tour",NA,NA,2016-01-28
"BMW Charity Pro-Am",4263,2009-05-17,"Web.com Tour",NA,NA,2016-01-28
"The Rex Hospital Open",4265,2009-05-31,"Web.com Tour",NA,NA,2016-01-28
"Melwood Prince George's County Open",4266,2009-06-07,"Web.com Tour",NA,NA,2016-01-28
"Knoxville Open Presented by Food City",4267,2009-06-14,"Web.com Tour",NA,NA,2016-01-28
"Fort Smith Classic Presented by Stephens Inc.",4268,2009-06-21,"Web.com Tour",NA,NA,2016-01-28
"Nationwide Tour Players Cup",4269,2009-06-28,"Web.com Tour",NA,NA,2016-01-28
"Ford Wayne Gretzky Classic Presented by Samsung",4270,2009-07-12,"Web.com Tour",NA,NA,2016-01-28
"Cox Classic presented by Lexus of Omaha",4271,2009-07-26,"Web.com Tour",NA,NA,2016-01-28
"Nationwide Children's Hospital Invitational",4272,2009-08-02,"Web.com Tour",NA,NA,2016-01-28
"Preferred Health Systems Wichita Open",4273,2009-08-09,"Web.com Tour",NA,NA,2016-01-28
"Price Cutter Charity Championship Presented by Dr Pepper",4274,2009-08-16,"Web.com Tour",NA,NA,2016-01-28
"Christmas In October",4275,2009-08-23,"Web.com Tour",NA,NA,2016-01-28
"Northeast Pennsylvania Classic",4276,2009-08-30,"Web.com Tour",NA,NA,2016-01-28
"Utah Championship Presented by Utah Sports Commission",4277,2009-09-13,"Web.com Tour",NA,NA,2016-01-28
"Albertsons Boise Open Pres'd by Kraft",4278,2009-09-20,"Web.com Tour",NA,NA,2016-01-28
"WNB Golf Classic",4279,2009-09-27,"Web.com Tour",NA,NA,2016-01-28
"Soboba Classic",4280,2009-10-04,"Web.com Tour",NA,NA,2016-01-28
"Chattanooga Classic presented by Black Creek",4281,2009-10-11,"Web.com Tour",NA,NA,2016-01-28
"Miccosukee Championship",4282,2009-10-18,"Web.com Tour",NA,NA,2016-01-28
"Nationwide Tour Championship at Daniel Island",4283,2009-10-25,"Web.com Tour",NA,NA,2016-01-28
"Club Colombia Masters",4285,2009-03-22,"European Challenge Tour",NA,NA,2016-01-28
"Tusker Kenya Open",4286,2009-04-19,"European Challenge Tour",NA,NA,2016-01-28
"Banque Populaire Moroccan Classic ",4287,2009-05-03,"European Challenge Tour",NA,NA,2016-01-28
"ALLIANZ Open Cotes d'Armor Bretagne",4288,2009-05-17,"European Challenge Tour",NA,NA,2016-01-28
"Piemonte Open",4289,2009-05-24,"European Challenge Tour",NA,NA,2016-01-28
"Telenet Trophy",4290,2009-05-31,"European Challenge Tour",NA,NA,2016-01-28
"Kärnten Golf Open presented by Markus Brier Foundation",4291,2009-06-07,"European Challenge Tour",NA,NA,2016-01-28
"Challenge of Ireland presented by Moyvalley",4292,2009-06-14,"European Challenge Tour",NA,NA,2016-01-28
"The Princess",4293,2009-06-28,"European Challenge Tour",NA,NA,2016-01-28
"Credit Suisse Challenge ",4294,2009-07-05,"European Challenge Tour",NA,NA,2016-01-28
"ALLIANZ EurOpen de Lyon",4295,2009-07-12,"European Challenge Tour",NA,NA,2016-01-28
"SWALEC Wales Challenge ",4297,2009-07-26,"European Challenge Tour",NA,NA,2016-01-28
"Scottish Hydro Challenge",4298,2009-08-02,"European Challenge Tour",NA,NA,2016-01-28
"SK Golf Challenge ",4299,2009-08-09,"European Challenge Tour",NA,NA,2016-01-28
"Trophée du Golf de Genéve ",4300,2009-08-16,"European Challenge Tour",NA,NA,2016-01-28
"DHL Wroclaw Open ",4302,2009-08-30,"European Challenge Tour",NA,NA,2016-01-28
"Fred Olsen Challenge de España",4303,2009-09-06,"European Challenge Tour",NA,NA,2016-01-28
"Dutch Futures",4304,2009-09-13,"European Challenge Tour",NA,NA,2016-01-28
"Kazakhstan Open",4305,2009-09-20,"European Challenge Tour",NA,NA,2016-01-28
"ECCO Tour Championship",4307,2009-10-04,"European Challenge Tour",NA,NA,2016-01-28
"ALLIANZ Open de Toulouse",4308,2009-10-11,"European Challenge Tour",NA,NA,2016-01-28
"Italian Federation Cup",4310,2009-10-25,"European Challenge Tour",NA,NA,2016-01-28
"Apulia San Domenico Grand Final",4311,2009-11-01,"European Challenge Tour",NA,NA,2016-01-28
"Asian Tour International",4312,2009-02-08,"Asian Tour",NA,NA,2016-01-28
"SAIL Open",4313,2009-03-22,"Asian Tour",NA,NA,2016-01-28
"Black Mountain Masters",4314,2009-03-29,"Asian Tour",NA,NA,2016-01-28
"GS Caltex Maekyung Open",4317,2009-05-17,"Asian Tour",NA,NA,2016-01-28
"Pertamina Indonesia President Invitational",4319,2009-07-26,"Asian Tour",NA,NA,2016-01-28
"Brunei Open",4320,2009-08-02,"Asian Tour",NA,NA,2016-01-28
"Worldwide Holdings Selangor Masters",4321,2009-08-09,"Asian Tour",NA,NA,2016-01-28
"Asia-Pacific Panasonic Open",4323,2009-09-27,"Asian Tour","Japan Golf Tour",NA,2016-01-28
"Mercuries Taiwan Masters",4324,2009-10-04,"Asian Tour",NA,NA,2016-01-28
"Hero Honda Indian Open",4325,2009-10-11,"Asian Tour",NA,NA,2016-01-28
"Midea China Classic",4326,2009-10-18,"PGA Tour Australasia",NA,NA,2016-01-28
"Barclays Singapore Open",4328,2009-11-01,"Asian Tour","European Tour",NA,2016-01-28
"Token Homemate Cup ",4331,2009-04-19,"Japan Golf Tour",NA,NA,2016-01-28
"Tsuruya Open ",4332,2009-04-26,"Japan Golf Tour",NA,NA,2016-01-28
"The Crowns ",4333,2009-05-03,"Japan Golf Tour",NA,NA,2016-01-28
"Mitsubishi Diamond Cup Golf ",4335,2009-05-31,"Japan Golf Tour",NA,NA,2016-01-28
"UBS Japan Golf Tour Championship ShishidoHills ",4336,2009-06-07,"Japan Golf Tour",NA,NA,2016-01-28
"Japan PGA Championship ",4337,2009-06-14,"Japan Golf Tour",NA,NA,2016-01-28
"Gate Way To The Open Mizuno Open Yomiuri Classic ",4338,2009-06-28,"Japan Golf Tour",NA,NA,2016-01-28
"Nagashima Shigeo INVITATIONAL SEGA SAMMY Cup ",4339,2009-07-26,"Japan Golf Tour",NA,NA,2016-01-28
"Sun Chlorella Classic ",4340,2009-08-02,"Japan Golf Tour",NA,NA,2016-01-28
"Kansai Open Golf Championship ",4341,2009-08-23,"Japan Golf Tour",NA,NA,2016-01-28
"Vana H Cup KBC Augusta ",4342,2009-08-30,"Japan Golf Tour",NA,NA,2016-01-28
"Fujisankei Classic ",4343,2009-09-06,"Japan Golf Tour",NA,NA,2016-01-28
"ANA Open ",4344,2009-09-20,"Japan Golf Tour",NA,NA,2016-01-28
"Coca-Cola Tokai Classic ",4345,2009-10-04,"Japan Golf Tour",NA,NA,2016-01-28
"Canon Open ",4346,2009-10-11,"Japan Golf Tour",NA,NA,2016-01-28
"Japan Open Golf Championship ",4347,2009-10-18,"Japan Golf Tour",NA,NA,2016-01-28
"Bridgestone Open ",4348,2009-10-25,"Japan Golf Tour",NA,NA,2016-01-28
"Mynavi ABC Championship ",4349,2009-11-01,"Japan Golf Tour",NA,NA,2016-01-28
"The Championship by LEXUS ",4350,2009-11-08,"Japan Golf Tour",NA,NA,2016-01-28
"Mitsui Sumitomo VISA Taiheiyo Masters ",4351,2009-11-15,"Japan Golf Tour",NA,NA,2016-01-28
"Dunlop Phoenix ",4352,2009-11-22,"Japan Golf Tour",NA,NA,2016-01-28
"Casio World Open ",4353,2009-11-29,"Japan Golf Tour",NA,NA,2016-01-28
"Golf Nippon Series JT Cup ",4354,2009-12-06,"Japan Golf Tour",NA,NA,2016-01-28
"Times Colonist Open ",4358,2009-06-07,"PGA Tour Canada",NA,NA,2016-01-28
"City of Surrey Invitational ",4359,2009-06-14,"PGA Tour Canada",NA,NA,2016-01-28
"ATB Financial Classic ",4360,2009-06-28,"PGA Tour Canada",NA,NA,2016-01-28
"TELUS Edmonton Open ",4361,2009-07-05,"PGA Tour Canada",NA,NA,2016-01-28
"Saskatchewan Open Pres. by Dakota Dunes Casino ",4362,2009-07-12,"PGA Tour Canada",NA,NA,2016-01-28
"Canadian Tour Players Cup ",4363,2009-07-19,"PGA Tour Canada",NA,NA,2016-01-28
"Seaforth Country Classic ",4365,2009-08-30,"PGA Tour Canada",NA,NA,2016-01-28
"Canadian Tour Championship ",4366,2009-09-06,"PGA Tour Canada",NA,NA,2016-01-28
"Singha Thailand Open",4367,2009-03-08,"Asian Tour",NA,NA,2016-01-28
"Corona Mazatlan Classic Mexican PGA Championship ",4368,2009-04-26,"PGA Tour Canada",NA,NA,2016-01-28
"Volvo World Match Play Championship",4370,2009-11-01,"European Tour",NA,NA,2016-01-28
"Johnnie Walker Cambodian Open",4371,2009-11-22,"Asian Tour",NA,NA,2016-01-28
"Roxul Jane Rogers Championship",4372,2009-08-09,"PGA Tour Canada",NA,NA,2016-01-28
"Desjardins Montreal Open pres. by Lexus",4373,2009-08-23,"PGA Tour Canada",NA,NA,2016-01-28
"Queen's Cup",4374,2009-08-16,"Asian Tour",NA,NA,2016-01-28
"Mexico Open",4375,2009-09-06,"Web.com Tour",NA,NA,2016-01-28
"Kolon-Hana Bank Korea Open",4376,2009-09-13,"PGA Tour Australasia",NA,NA,2016-01-28
"Macau Open",4377,2009-09-13,"Asian Tour",NA,NA,2016-01-28
"Riviera Nayarit Classic",4378,2009-10-04,"PGA Tour Canada",NA,NA,2016-01-28
"Iberostar Riviera Maya Open",4379,2009-09-27,"PGA Tour Canada",NA,NA,2016-01-28
"JBWere Australian Masters",4380,2009-11-15,"PGA Tour Australasia","European Tour",NA,2016-01-28
"MTC Namibia PGA Championship",4381,2009-11-15,"Sunshine Tour",NA,NA,2016-01-28
"Australian Open",4383,2009-12-06,"PGA Tour Australasia",NA,NA,2016-01-28
"King's Cup",4384,2009-12-06,"Asian Tour",NA,NA,2016-01-28
"Nedbank Challenge",4385,2009-12-06,"Sunshine Tour",NA,NA,2016-01-28
"Australian PGA Championship",4386,2009-12-13,"PGA Tour Australasia",NA,NA,2016-01-28
"Alfred Dunhill Championship",4387,2009-12-13,"Sunshine Tour","European Tour",NA,2016-01-28
"South African Open",4388,2009-12-20,"Sunshine Tour","European Tour",NA,2016-01-28
"Iskandar Johor Open",4389,2009-10-25,"Asian Tour",NA,NA,2016-01-28
"Chevron World Challenge",4391,2009-12-06,"PGA Tour",NA,NA,2016-01-28
"Africa Open",4392,2010-01-10,"Sunshine Tour","European Tour",NA,2016-01-28
"Joburg Open",4393,2010-01-17,"Sunshine Tour","European Tour",NA,2016-01-28
"Dimension Data Pro-Am",4394,2010-02-14,"Sunshine Tour",NA,NA,2016-01-28
"Telkom PGA Championship",4395,2010-02-21,"Sunshine Tour",NA,NA,2016-01-28
"Vodacom Championship",4396,2010-02-28,"Sunshine Tour",NA,NA,2016-01-28
"Michael Hill New Zealand Open",4399,2010-01-31,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"Moonah Classic",4400,2010-02-07,"PGA Tour Australasia","Web.com Tour",NA,2016-01-28
"Asian Tour International",4402,2010-02-07,"Asian Tour",NA,NA,2016-01-28
"Avantha Masters",4403,2010-02-14,"Asian Tour","European Tour",NA,2016-01-28
"Maybank Malaysian Open",4405,2010-03-07,"Asian Tour","European Tour",NA,2016-01-28
"SAIL Open",4407,2010-04-04,"Asian Tour",NA,NA,2016-01-28
"Ballantine's Championship",4408,2010-04-25,"Asian Tour","European Tour",NA,2016-01-28
"Brunei Open",4411,2010-08-01,"Asian Tour",NA,NA,2016-01-28
"Worldwide Holdings Selangor Masters",4412,2010-08-08,"Asian Tour",NA,NA,2016-01-28
"Omega European Masters",4414,2010-09-05,"Asian Tour","European Tour",NA,2016-01-28
"Mercuries Taiwan Masters",4416,2010-10-03,"Asian Tour",NA,NA,2016-01-28
"Iskandar Johor Open",4418,2010-10-17,"Asian Tour",NA,NA,2016-01-28
"CIMB Asia Pacific Classic",4419,2010-10-31,"Asian Tour","PGA Tour",NA,2016-01-28
"Barclays Singapore Open",4421,2010-11-14,"Asian Tour","European Tour",NA,2016-01-28
"UBS Hong Kong Open",4422,2010-11-21,"Asian Tour","European Tour",NA,2016-01-28
"Kings Cup",4423,2010-11-28,"Asian Tour",NA,NA,2016-01-28
"Hero Honda Indian Open",4424,2010-12-05,"Asian Tour",NA,NA,2016-01-28
"Johnnie Walker Cambodian Open",4425,2010-12-12,"Asian Tour",NA,NA,2016-01-28
"Black Mountain Masters",4426,2010-12-19,"Asian Tour",NA,NA,2016-01-28
"Corona Mazatlan Mexican PGA Championship ",4429,2010-04-18,"PGA Tour Canada",NA,NA,2016-01-28
"Riviera Nayarit Classic Presented by IDN ",4430,2010-04-25,"PGA Tour Canada",NA,NA,2016-01-28
"Times Colonist Open ",4433,2010-06-06,"PGA Tour Canada",NA,NA,2016-01-28
"ATB Financial Classic Presented by TELUS ",4437,2010-07-04,"PGA Tour Canada",NA,NA,2016-01-28
"Dakota Dunes Casino Open",4438,2010-07-11,"PGA Tour Canada",NA,NA,2016-01-28
"Ford Wayne Gretzky Championship Presented by Samsung",4439,2010-07-11,"Web.com Tour",NA,NA,2016-01-28
"The Players Cup ",4440,2010-07-18,"PGA Tour Canada",NA,NA,2016-01-28
"RBC Canadian Open",4441,2010-07-25,"PGA Tour Canada","PGA Tour",NA,2016-01-28
"Jane Rogers Championship ",4443,2010-08-15,"PGA Tour Canada",NA,NA,2016-01-28
"The Economical Insurance Group Seaforth Country Classic",4444,2010-08-22,"PGA Tour Canada",NA,NA,2016-01-28
"Canadian Tour Championship ",4445,2010-08-29,"PGA Tour Canada",NA,NA,2016-01-28
"Token Homemate Cup ",4446,2010-04-18,"Japan Golf Tour",NA,NA,2016-01-28
