Player_Name,Player_ID,Event_Name,Event_ID
Tom Hoge,15575,U.S. Open,6248
Tony Finau,11676,U.S. Open,6248
Toru Taniguchi,3750,U.S. Open,6248
Tyler Raber,NA,U.S. Open,6248
Webb Simpson,11049,U.S. Open,6248
Wes Short Jr.,7444,U.S. Open,6248
William McGirt,12477,U.S. Open,6248
Yusaku Miyazato,7031,U.S. Open,6248
Yuta Ikeda,8236,U.S. Open,6248
Zach Edmondson,19739,U.S. Open,6248
Zach Johnson,6986,U.S. Open,6248
