"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3529,"No Tournament Scores Available",2016-01-28,"Mitsubishi Diamond Cup",2006-05-28
3530,"No Tournament Scores Available",2016-01-28,"The Philippine Open",2006-05-28
3531,"No Tournament Scores Available",2016-01-28,"Tikida Hotels Moroccan Classic",2006-05-28
3532,"No Tournament Scores Available",2016-01-28,"The Celtic Manor Wales Open",2006-06-04
3533,"No Tournament Scores Available",2016-01-28,"The Memorial Tournament",2006-06-04
3534,"No Tournament Scores Available",2016-01-28,"JCB Classic Sendai",2006-06-04
3535,"No Tournament Scores Available",2016-01-28,"The Rex Hospital Open",2006-06-04
3536,"No Tournament Scores Available",2016-01-28,"Morson International Pro-Am",2006-06-04
3537,"No Tournament Scores Available",2016-01-28,"Barclays Classic",2006-06-11
3538,"No Tournament Scores Available",2016-01-28,"BA CA Golf Open",2006-06-11
3539,"No Tournament Scores Available",2016-01-28,"LaSalle Bank Open",2006-06-11
3540,"No Tournament Scores Available",2016-01-28,"Thomas Bjorn Open",2006-06-11
3541,"No Tournament Scores Available",2016-01-28,"Bangkok Airways Open",2006-06-11
3542,"No Tournament Scores Available",2016-01-28,"US OPEN CHAMPIONSHIP",2006-06-18
3543,"No Tournament Scores Available",2016-01-28,"Aa St Omer Open",2006-06-18
3544,"No Tournament Scores Available",2016-01-28,"Mandom Lucido Yomiuri Open",2006-06-18
3545,"No Tournament Scores Available",2016-01-28,"Knoxville Open",2006-06-18
3546,"No Tournament Scores Available",2016-01-28,"Lexus Open",2006-06-18
3547,"No Tournament Scores Available",2016-01-28,"Greater Vancouver Charity Classic",2006-06-18
3548,"No Tournament Scores Available",2016-01-28,"Booz Allen Classic",2006-06-25
3549,"No Tournament Scores Available",2016-01-28,"Johnnie Walker Championship",2006-06-25
3550,"No Tournament Scores Available",2016-01-28,"Mizuno Open",2006-06-25
3551,"No Tournament Scores Available",2016-01-28,"Chattanooga Clasic",2006-06-25
3552,"No Tournament Scores Available",2016-01-28,"Credit Suisse Challenge",2006-06-25
3553,"No Tournament Scores Available",2016-01-28,"Times Colonist Open",2006-06-25
3554,"No Tournament Scores Available",2016-01-28,"Buick Championship",2006-07-02
3555,"No Tournament Scores Available",2016-01-28,"Open de France ALSTOM",2006-07-02
3556,"No Tournament Scores Available",2016-01-28,"UBS Japan Golf Tour Championship",2006-07-02
3557,"No Tournament Scores Available",2016-01-28,"Peek'n Peak Classic",2006-07-02
3558,"No Tournament Scores Available",2016-01-28,"Open Mahou de Madrid",2006-07-02
3559,"No Tournament Scores Available",2016-01-28,"Telus Edmonton Open",2006-07-02
3560,"No Tournament Scores Available",2016-01-28,"Cialis Western Open",2006-07-09
3561,"No Tournament Scores Available",2016-01-28,"Smurfit Kappa European Open",2006-07-09
3562,"No Tournament Scores Available",2016-01-28,"Woodone Open Hiroshima",2006-07-09
3563,"No Tournament Scores Available",2016-01-28,"Scottish Challenge",2006-07-09
3564,"No Tournament Scores Available",2016-01-28,"Barclays Scottish Open",2006-07-16
3565,"No Tournament Scores Available",2016-01-28,"John Deere Classic",2006-07-16
3566,"No Tournament Scores Available",2016-01-28,"Scholarship America Showdown",2006-07-16
3567,"No Tournament Scores Available",2016-01-28,"Texbond Open",2006-07-16
3568,"No Tournament Scores Available",2016-01-28,"MTS Classic",2006-07-16
3569,"No Tournament Scores Available",2016-01-28,"THE OPEN CHAMPIONSHIP",2006-07-23
3570,"No Tournament Scores Available",2016-01-28,"B.C. Open",2006-07-23
3571,"No Tournament Scores Available",2016-01-28,"Sega Sammy Cup",2006-07-23
3572,"No Tournament Scores Available",2016-01-28,"Price Cutter Charity Champs",2006-07-23
3573,"No Tournament Scores Available",2016-01-28,"Man No Open",2006-07-23
3574,"No Tournament Scores Available",2016-01-28,"Deutsche Bank Players Champ",2006-07-30
3575,"No Tournament Scores Available",2016-01-28,"US Bank Championship",2006-07-30
3576,"No Tournament Scores Available",2016-01-28,"Tournament in Omaezaki",2006-07-30
3577,"No Tournament Scores Available",2016-01-28,"Preferred Health Systems Wichita O",2006-07-30
3578,"No Tournament Scores Available",2016-01-28,"Ryder Cup Wales Challenge",2006-07-30
3579,"No Tournament Scores Available",2016-01-28,"Buick Open",2006-08-06
3580,"No Tournament Scores Available",2016-01-28,"EnterCard Scandinavian Masters",2006-08-06
3581,"No Tournament Scores Available",2016-01-28,"Cox Classic",2006-08-06
3582,"No Tournament Scores Available",2016-01-28,"Ireland Ryder Cup Challenge",2006-08-06
3583,"No Tournament Scores Available",2016-01-28,"Sun Chlorella Classic",2006-08-06
3584,"No Tournament Scores Available",2016-01-28,"Casino de Montreal Open",2006-08-06
3585,"No Tournament Scores Available",2016-01-28,"The International",2006-08-13
3586,"No Tournament Scores Available",2016-01-28,"KLM Open",2006-08-13
3587,"No Tournament Scores Available",2016-01-28,"Xerox Classic",2006-08-13
3588,"No Tournament Scores Available",2016-01-28,"Vodafone Challenge",2006-08-13
3589,"No Tournament Scores Available",2016-01-28,"88th PGA CHAMPIONSHIP",2006-08-20
3590,"No Tournament Scores Available",2016-01-28,"Imperial Collection Russian Open",2006-08-20
3591,"No Tournament Scores Available",2016-01-28,"Northeast Pennsylvania Classic",2006-08-20
3592,"No Tournament Scores Available",2016-01-28,"Rolex Trophy",2006-08-20
3593,"No Tournament Scores Available",2016-01-28,"Crowne Plaza Open",2006-08-20
3594,"No Tournament Scores Available",2016-01-28,"WGC - Bridgestone Invitational",2006-08-27
3595,"No Tournament Scores Available",2016-01-28,"Reno-Tahoe Open",2006-08-27
3596,"No Tournament Scores Available",2016-01-28,"NMA Pete Dye Classic",2006-08-27
3597,"No Tournament Scores Available",2016-01-28,"Under Armour KBC Augusta",2006-08-27
3598,"No Tournament Scores Available",2016-01-28,"Brunei Open",2006-08-27
3599,"Tournament Results Collected",2016-01-28,"ECCO Tour Championship",2006-08-27
3600,"Tournament Results Collected",2016-01-28,"Fallsview Casino Resort Pro Am",2006-08-27
3601,"Tournament ID Not Valid",2016-01-28,NA,NA
3602,"Tournament Results Collected",2016-01-28,"BMW International Open",2006-09-03
3603,"Tournament Results Collected",2016-01-28,"Legend Financial Group Classic",2006-09-03
3604,"No Tournament Scores Available",2016-01-28,"Fujisankei Classic",2006-09-03
3605,"No Tournament Scores Available",2016-01-28,"Pulai Springs Malaysian Classic",2006-09-03
3606,"Tournament Results Collected",2016-01-28,"Telia Waxholm Challenge",2006-09-03
3607,"No Tournament Scores Available",2016-01-28,"Canadian Tour Championship",2006-09-03
3608,"Tournament Results Collected",2016-01-28,"Deutsche Bank Championship",2006-09-03
3609,"Tournament ID Not Valid",2016-01-28,NA,NA
3610,"Tournament ID Not Valid",2016-01-28,NA,NA
3611,"Tournament ID Not Valid",2016-01-28,NA,NA
3612,"Tournament ID Not Valid",2016-01-28,NA,NA
3613,"Tournament ID Not Valid",2016-01-28,NA,NA
3614,"No Tournament Scores Available",2016-01-28,"Omega European Masters",2006-09-10
3615,"No Tournament Scores Available",2016-01-28,"Canadian Open",2006-09-10
3616,"No Tournament Scores Available",2016-01-28,"Suntory Open",2006-09-10
3617,"No Tournament Scores Available",2016-01-28,"Barclays Singapore Open",2006-09-10
