"Player_ID","Player_Name","Event_Name","Event_ID","Rank","OWGR_Rank","Projected_Rating","Projected_Stdev","Weight_Sum","Recent_Tour","Rounds_Last_Year","Round_1","Round_1_Completion","Projected_Rating_Start","Win","Top_5","Top_10","Win_Rank"
7334,"Bubba Watson","Masters Tournament",6149,5,4,-2.08506009342705,2.14349165727356,76.0032984973024,"PGA Tour",86,0.338041446,1,-2.14012851883388,0.0026,0.0304,0.1029,28
17646,"Matthew Fitzpatrick","Masters Tournament",6149,85,43,-0.710606795612134,2.20854531235554,85.1829496481101,"European Tour",103,-3.661958554,1,-0.649868738801255,0.0022,0.0328,0.1048,29
7548,"Graeme McDowell","Masters Tournament",6149,66,63,-0.864079675097631,2.18285582361367,77.7904223247054,"PGA Tour",90,-2.661958554,1,-0.824033558098631,0.002,0.0223,0.0707,30
9531,"Bernd Wiesberger","Masters Tournament",6149,33,39,-1.11842411494166,2.19883751441186,91.4221672383589,"European Tour",100,-1.661958554,1,-1.10791312965539,0.0017,0.0229,0.0719,31
8480,"Kevin Streelman","Masters Tournament",6149,101,120,-0.619471841040251,2.23437236309534,77.3435258231856,"PGA Tour",80,-3.661958554,1,-0.551364237608952,0.0016,0.0281,0.0861,32
12451,"Chris Wood","Masters Tournament",6149,64,46,-0.872079845924914,2.19416629193487,73.0396152629257,"European Tour",88,-2.661958554,1,-0.829984671751298,0.0014,0.0224,0.0817,33
5973,"Thongchai Jaidee","Masters Tournament",6149,56,41,-0.93294939535163,2.05529883094416,98.4346569340503,"European Tour",110,-2.661958554,1,-0.90163659542722,0.0012,0.0208,0.0683,34
10198,"Victor Dubuisson","Masters Tournament",6149,87,48,-0.668020628605114,2.36996572234272,63.7208642916779,"European Tour",72,-1.661958554,1,-0.641767945551571,9e-04,0.0129,0.0441,35
12321,"Kiradech Aphibarnrat","Masters Tournament",6149,133,37,-0.430242700115406,2.36905549917539,95.790115600291,"European Tour",107,-2.661958554,1,-0.388834156457094,8e-04,0.0154,0.048,36
7649,"Marc Leishman","Masters Tournament",6149,28,31,-1.22594605841563,2.17990459783092,71.7528105996242,"PGA Tour",75,-0.661958554,1,-1.2394139647552,7e-04,0.0144,0.0522,37
6169,"Matt Kuchar","Masters Tournament",6149,14,28,-1.64061297178341,2.09917271290441,89.5217568682295,"PGA Tour",96,0.338041446,1,-1.67959288069794,6e-04,0.0109,0.0463,38.5
18631,"Smylie Kaufman","Masters Tournament",6149,76,49,-0.749936001796733,2.1997790433967,67.8697834472388,"Web.com Tour",103,-1.661958554,1,-0.727098264849425,6e-04,0.01,0.0407,38.5
13872,"Keegan Bradley","Masters Tournament",6149,40,101,-1.02000049692279,2.22821151656727,79.2875186597037,"PGA Tour",84,-0.661958554,1,-1.02784476628578,5e-04,0.0109,0.0405,40.5
17606,"Daniel Berger","Masters Tournament",6149,62,53,-0.870640503676742,2.22591788395805,80.4167586796545,"PGA Tour",88,-1.661958554,1,-0.853515513325885,5e-04,0.014,0.0485,40.5
14838,"Patrick Reed","Masters Tournament",6149,15,10,-1.54342414676812,2.16585980545341,98.8052549378741,"PGA Tour",114,1.338041446,1,-1.59543369440886,4e-04,0.0048,0.0222,43.5
7084,"Jamie Donaldson","Masters Tournament",6149,50,56,-0.94012111638913,2.19485019698496,81.7677684746313,"European Tour",88,-0.661958554,1,-0.946054126567662,4e-04,0.0076,0.0332,43.5
8117,"Martin Kaymer","Masters Tournament",6149,69,50,-0.783072473197601,2.25567786698828,82.1710387511024,"European Tour",86,-0.661958554,1,-0.785644684799041,4e-04,0.0059,0.0245,43.5
7636,"Hunter Mahan","Masters Tournament",6149,88,104,-0.661160740850888,2.10664722827392,78.3525049683939,"PGA Tour",81,-1.661958554,1,-0.639007557306078,4e-04,0.0068,0.0308,43.5
6430,"Adam Scott","Masters Tournament",6149,10,7,-1.85525305181142,2.23590925130431,73.1818548017214,"PGA Tour",78,1.338041446,1,-1.93022898430889,3e-04,0.013,0.0508,47.5
11952,"Branden Grace","Masters Tournament",6149,21,13,-1.35879260398707,2.20179459489535,87.2047761100921,"European Tour",90,0.338041446,1,-1.39300132087594,3e-04,0.0069,0.0332,47.5
14577,"Harris English","Masters Tournament",6149,36,72,-1.06987717677788,2.0949492443773,91.9122328948504,"PGA Tour",98,-0.661958554,1,-1.07772839143113,3e-04,0.0077,0.0313,47.5
19841,"Bryson DeChambeau(Am)","Masters Tournament",6149,245,464,-0.108916968356546,2.28810212631387,24.175849051645,"European Tour",34,-2.661958554,1,0.0322292190901513,3e-04,0.0056,0.0288,47.5
7457,"Rafael Cabrera Bello","Masters Tournament",6149,67,33,-0.801035841160089,2.31950146799088,88.3410865095958,"European Tour",97,-0.661958554,1,-0.803807931676505,2e-04,0.0081,0.03,51
6930,"Vaughn Taylor","Masters Tournament",6149,132,97,-0.399859791219112,2.1784184012425,62.4517683463772,"PGA Tour",62,-0.661958554,1,-0.392819024596578,2e-04,0.0019,0.0102,51
3464,"Davis Love III","Masters Tournament",6149,236,159,-0.0352680660296086,2.17740805382693,55.729228804244,"PGA Tour",52,-1.661958554,1,0.0127670442673644,2e-04,0.0019,0.0101,51
7398,"Charl Schwartzel","Masters Tournament",6149,19,20,-1.37391590323497,2.18952933742222,92.6376016605903,"PGA Tour",96,1.338041446,1,-1.42575113848877,1e-04,0.0042,0.0182,57.5
14139,"Justin Thomas","Masters Tournament",6149,25,34,-1.27002939253381,2.18044279753208,85.9517378086033,"PGA Tour",96,1.338041446,1,-1.32328155317704,1e-04,0.0042,0.0166,57.5
