"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
24,"Stewart Cink","5665",-1.40220022102123,0.671008391323802,2.76865450589366,84.2980664166629,329,-0.800153380206488,0.425783088037847,1,"USA",84,"PGA Tour","PGA Tour",-1.59660382684587,0.639764707736816,7.5504055507128e-16,2.59895459983039,2.68611159704475
25,"Bill Haas","7900",-1.38712577496219,0.664954902434653,2.72221416644182,90.4502980137436,378,-0.757624419104612,0.406134068209863,1,"USA",96,"PGA Tour","PGA Tour",-1.5695013635388,0.638525848607658,9.3985873082292e-16,2.49957843340622,2.63975092493679
26,"Justin Rose","6093",-1.38363990446091,0.669271420456732,2.8195199487991,80.4390740695169,338,-0.75090739992458,0.386124378888206,1,"ENG",78,"PGA Tour","PGA Tour",-1.58657041330611,0.640600680218191,9.35097976698725e-16,2.72311746940361,2.73893565229924
27,"Ian Poulter","1435",-1.35793048707966,0.66898298532092,2.77749811154734,85.7516178592095,357,-0.691691433908416,0.415506521652278,1,"ENG",94,"PGA Tour","PGA Tour",-1.55100311938659,0.63958993093041,1.3257438831815e-15,2.62294827313847,2.69572949774271
28,"Francesco Molinari","7655",-1.35310608981563,0.664094026622999,2.82191190570402,87.1808120631406,388,-0.331730396555542,0.37692085472017,1,"ITA",93,"European Tour","European Tour",-1.55671218110582,0.639553386844779,1.22850421020291e-15,2.73297023540428,2.74265672794788
29,"Rickie Fowler","12965",-1.33979566085367,0.682093424223053,2.88518462509941,81.2887196497267,196,-0.733211009374116,0.500584572804358,1,"USA",98,"PGA Tour","PGA Tour",-1.54224707511146,0.640354827113034,1.60016958186029e-15,2.87894007696946,2.80339773873449
30,"Ryan Moore","7489",-1.33564752578272,0.672829800315332,2.87472400911207,77.1210548459957,332,-0.829203988243555,0.394713146243072,1,"USA",76,"PGA Tour","PGA Tour",-1.54035404902808,0.641390187010737,1.81837675433093e-15,2.86179621623429,2.79487713296542
31,"Robert Karlsson","4331",-1.3215502770413,0.675298793882681,2.89137185130606,80.9872611880383,319,-0.55413837357843,0.441529230330735,1,"SWE",90,"European Tour","European Tour",-1.53009189265819,0.640571334504946,1.90636244991066e-15,2.89860065136304,2.81140582654045
32,"K.T. Kim","7880",-1.32125952581475,0.665496975522404,2.74311482876961,99.7686051989655,333,0.435876172117008,0.445292567093071,0,"KOR",116,"Japan Golf Tour","Japan Golf Tour",-1.53574889698517,0.638292355864137,1.4106138483821e-15,2.55876521246504,2.66116379416718
33,"Tim Clark","3849",-1.29212705598913,0.681708465313019,2.72305293407065,56.1862224066618,332,-0.699416441614561,0.265566119008819,1,"RSA",58,"PGA Tour","PGA Tour",-1.56916664956571,0.648517176579544,2.57038888753696e-15,2.40370597968298,2.63634042757595
34,"Robert Allenby","4949",-1.29154906775945,0.662370037431429,2.72199385333903,94.9332867540023,406,-0.639421476325699,0.404432825560392,1,"AUS",102,"PGA Tour","PGA Tour",-1.46528657507542,0.637748986917354,3.251755501477e-15,2.50713235523028,2.6401735683717
35,"Peter Hanson","6850",-1.29143039033744,0.66846993787713,2.84819276714806,83.2464428735443,366,-0.408272592353719,0.394619573568777,1,"SWE",89,"European Tour","European Tour",-1.49749418254159,0.640274000860646,2.78750916046727e-15,2.79438253640293,2.76863684527044
36,"Charles Howell-III","6892",-1.28243423953262,0.661281642959609,2.62520724478877,99.7372754823677,396,-0.556123480450123,0.416608186402091,1,"USA",108,"PGA Tour","PGA Tour",-1.45173135523025,0.636922454567507,3.55239409444838e-15,2.299058762743,2.54055499188191
37,"J.B. Holmes","7959",-1.27870093763878,0.668616876051742,2.82561974043658,84.0559444508203,337,-0.692141312470421,0.403590621818837,1,"USA",92,"PGA Tour","PGA Tour",-1.47007465661222,0.639750054725024,3.73014254358264e-15,2.73904499686258,2.74537399831129
38,"Geoff Ogilvy","5698",-1.2596313528206,0.673236699533783,2.78581682528597,73.3973458877103,327,-0.603185806752455,0.370240425776471,1,"AUS",73,"PGA Tour","PGA Tour",-1.47890729943134,0.642364771706696,4.31507127473368e-15,2.62998585104724,2.70324392729314
39,"Bubba Watson","7334",-1.25268201222213,0.673673922959335,2.85657204240671,80.9950577348919,327,-0.826298063420915,0.428290615278009,1,"USA",84,"PGA Tour","PGA Tour",-1.44369788416554,0.640487001592626,5.56443223447121e-15,2.81291203163267,2.77599842921141
40,"Freddie Jacobson","3846",-1.25176711003122,0.668224560687816,2.75441220246007,94.6269178352179,349,-0.58822637319281,0.457322186986996,1,"SWE",96,"PGA Tour","PGA Tour",-1.4276205397339,0.637733656150646,5.2002297707052e-15,2.57748794249705,2.67212696508877
41,"Webb Simpson","11049",-1.23417910102553,0.669354223905483,2.75873167626346,91.5061721509327,288,-0.589549296887369,0.451957907524835,1,"USA",100,"PGA Tour","PGA Tour",-1.41420547102501,0.63826600425392,6.4699983690372e-15,2.58367095789556,2.67629695373277
42,"Martin Laird","9586",-1.17585109645494,0.664069802465059,2.83380035886067,92.2068763295879,383,-0.695616897411275,0.407431247103059,1,"SCO",100,"PGA Tour","PGA Tour",-1.34532127792716,0.638156345594437,1.49655398153961e-14,2.76099566206127,2.75489305987236
43,"Padraig Harrington","5716",-1.16720640626802,0.668063147748079,2.79553697295813,84.6184117299689,353,-0.564987096033552,0.401530398205168,1,"IRL",84,"PGA Tour","PGA Tour",-1.35603439417384,0.639693578667576,1.5168859807735e-14,2.6663445306467,2.71453837655628
44,"Ernie Els","874",-1.16078458862422,0.663830997855431,2.8202387460622,89.1259933366876,374,-0.681319280719378,0.387729428813355,1,"RSA",92,"PGA Tour","PGA Tour",-1.33501598338934,0.638874524601184,1.81562784252453e-14,2.72938471575321,2.74099890388098
45,"John Senden","5207",-1.14741705074078,0.657076322896695,2.74010969770295,112.85442799472,444,-0.544498587713927,0.426001828726514,1,"AUS",126,"PGA Tour","PGA Tour",-1.29252667562537,0.635208819745319,2.16571002816079e-14,2.56861221621467,2.66016011949174
46,"Vijay Singh","653",-1.124270176358,0.673304751225505,2.77855584532575,82.9655343930913,331,-0.72799050417423,0.438078876984149,1,"FIJ",88,"PGA Tour","PGA Tour",-1.30746808900583,0.639984325961263,2.81137458808981e-14,2.62053772602798,2.69574355189269
47,"Alvaro Quiros","7886",-1.10328909307149,0.669124156149654,2.9529251862839,81.4388444352098,324,-0.410677649394678,0.38838560923236,1,"ESP",86,"European Tour","European Tour",-1.30141948636739,0.640762003253426,3.24757778918739e-14,3.05420337258356,2.87611543917257
48,"Adam Scott","6430",-1.10138682407271,0.676195191847062,2.93607353922272,70.1410542607633,309,-0.653603069797833,0.368565365314918,1,"AUS",78,"PGA Tour","PGA Tour",-1.31704430751392,0.643338050754964,3.40393553852082e-14,3.03281971885091,2.85714680936188
49,"Steve Marino","7741",-1.0989558687588,0.664453028352676,2.78623607376038,85.0598859058998,401,-0.665278490110872,0.371567916329976,1,"USA",82,"PGA Tour","PGA Tour",-1.27766664941458,0.639529873534109,3.86294333759223e-14,2.64615509843715,2.70584804300548
50,"Jonathan Byrd","6931",-1.08949063881325,0.670380264462418,2.82407082355597,80.9891941401695,336,-0.640177645849505,0.400209787463377,1,"USA",89,"PGA Tour","PGA Tour",-1.27792359895713,0.640395324392346,4.16599492694171e-14,2.7339061009993,2.74334947053404
51,"Brian Gay","5951",-1.08772740692645,0.661834137527592,2.70708621742057,97.1629714421852,409,-0.623518261673616,0.410179755707397,1,"USA",97,"PGA Tour","PGA Tour",-1.24709928825133,0.63734226762561,4.57401862428555e-14,2.47691392473664,2.62493644931673
52,"Rory Sabbatini","6283",-1.07221628567464,0.665818401698056,2.99191331191361,90.2483999067116,356,-0.645594127531754,0.413301245650939,1,"RSA",92,"PGA Tour","PGA Tour",-1.24127428902383,0.638528269860524,5.46086695037061e-14,3.12954509209594,2.91688723161629
53,"Ben Crane","6674",-1.06751316259,0.671160797790619,2.76986662949192,82.2199321791956,318,-0.727983961106132,0.414630731322738,1,"USA",85,"PGA Tour","PGA Tour",-1.24823662873578,0.640168233371277,5.82259682210828e-14,2.59965719919689,2.68732289252371
54,"Ross Fisher","9396",-1.05101740836835,0.673194339939071,2.85732371481219,74.8141358294869,343,-0.438755049010923,0.378500944260308,1,"ENG",84,"European Tour","European Tour",-1.26044212585317,0.64230492663095,6.09502422964259e-14,2.81821925262677,2.77688822099525
55,"Matteo Manassero","11460",-1.04507576329659,0.702341015910999,2.80557262152553,71.2823151646111,140,-0.119462911610177,0.579255805673256,1,"ITA",98,"European Tour","European Tour",-1.2881907519311,0.643420110193151,4.84082256009858e-14,2.66177251804978,2.71623909699105
56,"Anders Hansen","5724",-1.03987802910689,0.672413654306685,2.79614499871881,77.0982492742926,326,-0.184143448552851,0.387119357435295,1,"DEN",90,"European Tour","European Tour",-1.25451725490075,0.641912583132133,6.31485863097237e-14,2.66052753823885,2.71409040589331
57,"Spencer Levin","8199",-1.02658108692251,0.660005021190877,2.74358441781301,104.799735347262,386,-0.444182936628238,0.425820816858307,1,"USA",110,"PGA Tour","PGA Tour",-1.17929302095767,0.636142503529991,9.25147776508049e-14,2.56756363778111,2.66301498863022
58,"Kevin Na","7452",-1.02539362843154,0.664421107215303,2.80044443610601,89.7649775427296,381,-0.697064051078425,0.39764775473486,1,"USA",97,"PGA Tour","PGA Tour",-1.19005398503865,0.638637496656625,1.01518010203653e-13,2.68267054960157,2.72048408045405
59,"Edoardo Molinari","7033",-1.01077651245439,0.666754395673887,2.74590381978723,86.6497288753711,341,-0.240152538237435,0.399436548289418,1,"ITA",95,"European Tour","European Tour",-1.19994062054966,0.639552241197981,9.78808823978696e-14,2.54922036250766,2.66372415301803
60,"Aaron Baddeley","6252",-0.994363507558521,0.667718930497218,2.82665913883978,90.2073787476962,341,-0.612813850224843,0.430437905099588,1,"AUS",102,"PGA Tour","PGA Tour",-1.16059600614964,0.638525100815611,1.42383277365312e-13,2.74240706964025,2.74666221385923
61,"Y.E. Yang","6629",-0.97145383607291,0.664385988150506,2.89186537601691,86.2958747422073,380,-0.608884095925154,0.377454601902185,1,"KOR",90,"PGA Tour","PGA Tour",-1.14264180314275,0.639372664600967,1.89213500385253e-13,2.90048178240806,2.81451178923712
62,"Charley Hoffman","5768",-0.953183900428432,0.664231412577931,2.86666774010128,96.4572000630936,389,-0.697619426095512,0.42928400063094,1,"USA",102,"PGA Tour","PGA Tour",-1.10319882421491,0.637477377269273,2.55088666970091e-13,2.83473463767377,2.78865210499304
63,"Scott Verplank","220",-0.946171524816099,0.68187684925243,2.78774731256682,64.3900337702775,308,-0.673327750176832,0.363103847284967,1,"USA",56,"PGA Tour","PGA Tour",-1.16800558891385,0.645090655071573,2.29607185011571e-13,2.6192491370781,2.70306844922157
64,"Pat Perez","6762",-0.936851367140427,0.671063189591554,2.79046185190933,80.7384543949858,336,-0.614647218518268,0.404619671746385,1,"USA",85,"PGA Tour","PGA Tour",-1.11738466598309,0.640449197494956,2.78501454794371e-13,2.64955912955683,2.70857001802362
65,"Jason Dufner","7301",-0.926765689255995,0.668180349472244,2.92496228375517,82.3780975886816,347,-0.629239024997553,0.389524972820221,1,"USA",81,"PGA Tour","PGA Tour",-1.10232884158527,0.640077699236786,3.21383847102892e-13,2.98389760946783,2.84761995040936
66,"Angel Cabrera","5717",-0.922116582640356,0.684757427256313,2.76405971934791,62.7660321034815,306,-0.738408178955241,0.369217380447432,1,"ARG",60,"PGA Tour","PGA Tour",-1.14458496223651,0.645742061282844,3.1774730759711e-13,2.54579035418709,2.67789719704453
67,"Kevin Streelman","8480",-0.919717051795633,0.66403213952719,2.8169515171185,96.6061719943373,365,-0.651660038859445,0.428276703397655,1,"USA",100,"PGA Tour","PGA Tour",-1.06950273488864,0.637434132556132,3.76264987675314e-13,2.72276839059659,2.73756774664503
68,"Louis Oosthuizen","7672",-0.918312022044609,0.673709602789469,2.901168147247,72.2355702072102,333,-0.157273856827561,0.362718633183826,1,"RSA",72,"European Tour","European Tour",-1.13837742047772,0.643005447887844,2.71123685056328e-13,2.93626122838341,2.8218596686777
69,"Brandt Jobe","1391",-0.9075957819224,0.67188727300273,2.7772190586272,94.9352315466641,288,-0.177928909501313,0.492404731383985,1,"USA",113,"PGA Tour","PGA Tour",-1.0816744443694,0.63747572794272,3.27798466667424e-13,2.62775534903979,2.69471950153984
70,"Ricky Barnes","6846",-0.888218404490546,0.667499766818215,2.81723929416919,85.4821662070797,361,-0.592132726911193,0.402761338685294,1,"USA",83,"PGA Tour","PGA Tour",-1.05707461140169,0.639359822028454,5.10331388242328e-13,2.7195590870303,2.73702051543436
71,"Lucas Glover","7399",-0.887928361894314,0.673239202265077,2.88672221743972,74.5278274325707,350,-0.769430911517295,0.379314805853964,1,"USA",70,"PGA Tour","PGA Tour",-1.07224046584534,0.642023808579895,5.34712267256881e-13,2.89525501410818,2.80711847580283
72,"Jamie Donaldson","7084",-0.885529247448948,0.667885467561524,2.80294925731645,84.0251242650792,366,0.106190733223306,0.390938672446287,1,"WAL",93,"European Tour","European Tour",-1.08714237359376,0.640517610980935,3.97507929883132e-13,2.68418696611029,2.72221482277042
73,"Camilo Villegas","9171",-0.883109180635683,0.668187811445714,2.8255093621617,82.8001922876494,352,-0.774119949338532,0.391401560744224,1,"COL",88,"PGA Tour","PGA Tour",-1.04880020964551,0.64009579057056,5.9646307543399e-13,2.73892717605766,2.74536485813795
74,"Carl Pettersson","7048",-0.874796149529411,0.661641387757876,2.7548179015369,100.43506095586,406,-0.62860331715585,0.422772597910726,1,"SWE",104,"PGA Tour","PGA Tour",-1.0174481457994,0.636853425625571,6.54005882543278e-13,2.58737018287316,2.67418255634016
75,"Miguel A Jimenez","3596",-0.874251606004262,0.664372689937397,2.79897746087674,89.3151298437983,376,-0.231015713071392,0.390408380876628,1,"ESP",98,"European Tour","European Tour",-1.05024990447811,0.639265083658302,5.47670634692837e-13,2.67905265592279,2.71898579535851
76,"Jeff Overton","10498",-0.870113097454821,0.665912932654837,2.81076047028731,88.7566205791434,380,-0.743365455572085,0.406035450749483,1,"USA",90,"PGA Tour","PGA Tour",-1.0254485928285,0.638820989592678,7.01694757484476e-13,2.70578248436633,2.73073879883316
77,"Charlie Wi","5905",-0.860140486393793,0.663054722214604,2.75725844869345,93.7075630165765,396,-0.60299486878977,0.405360816528892,1,"KOR",104,"PGA Tour","PGA Tour",-1.01266702887214,0.637903961224742,7.53336831065717e-13,2.58595812324434,2.67634687367694
78,"Brendon de Jonge","8767",-0.850743221719982,0.658203517195643,2.77995845853227,105.999458171257,426,-0.496936908468926,0.412799305465622,1,"ZIM",111,"PGA Tour","PGA Tour",-0.98996840323476,0.635995032403821,8.35406527145959e-13,2.6476603286442,2.70091413434718
79,"D.J. Trahan","7236",-0.837031065583257,0.664980292887738,2.73224500637121,92.3818898369451,379,-0.604045075599027,0.416730043290969,1,"USA",98,"PGA Tour","PGA Tour",-0.990416073559793,0.638130783965352,9.89418313565349e-13,2.5257132462541,2.65008754287691
80,"Chris Couch","4614",-0.830526868993671,0.710126876017457,2.82633010070919,61.5473189050567,165,-0.624601837997392,0.546249852893944,1,"USA",72,"PGA Tour","PGA Tour",-1.05805591159156,0.64612826573091,8.78083408293664e-13,2.70887962449629,2.73566475616668
81,"Gregory Bourdy","7932",-0.829569025507906,0.661991222678586,2.75510890744952,97.2234613008752,402,0.0534567093032172,0.405621534993722,1,"FRA",110,"European Tour","European Tour",-1.00186850775064,0.638100367413551,8.66146283742796e-13,2.58496789744457,2.67439576596363
82,"J.J. Henry","6222",-0.821840325250874,0.66200045058471,2.70360927090538,101.646102844523,392,-0.555984028554516,0.431631439456662,1,"USA",102,"PGA Tour","PGA Tour",-0.962993571999441,0.636638335318129,1.19786898620944e-12,2.47571007440748,2.62130854596539
83,"Ben Curtis","7101",-0.820004366151239,0.677119360538684,2.70901411663887,76.0283632006468,300,-0.644864537572683,0.424016179109162,1,"USA",74,"PGA Tour","PGA Tour",-1.00233878712096,0.64158390412096,1.14233632028191e-12,2.43096666509402,2.62302627812463
84,"Gary Woodland","12577",-0.812827692881769,0.691193819711544,2.95742876115515,73.9840836490727,190,-0.359565969330038,0.522352182464707,1,"USA",97,"PGA Tour","PGA Tour",-1.01559558773023,0.641917838056161,1.01012222424645e-12,3.07063602837122,2.87552360117253
85,"Mark Wilson","4107",-0.811293464056798,0.665524806833898,2.81818351470337,85.6674670665934,378,-0.596840885132549,0.385300129386585,1,"USA",91,"PGA Tour","PGA Tour",-0.974713429700893,0.639384339995907,1.3082896159776e-12,2.72299944805907,2.73847312457773
86,"Chad Campbell","6248",-0.810437879236096,0.665139327913027,2.72395807988262,94.9794853852492,372,-0.580809068829066,0.431082174358359,1,"USA",100,"PGA Tour","PGA Tour",-0.95936488235742,0.637672530388889,1.35669830952075e-12,2.51013582224615,2.64150284789194
87,"Richard Green","3877",-0.806145051969197,0.678537009412584,2.76637258601193,67.2495709809649,309,0.0403236691566235,0.358615308760653,1,"AUS",78,"European Tour","European Tour",-1.04291768091471,0.644786684961089,9.34839148246243e-13,2.5653533663588,2.68186591974613
88,"Davis Love III","3464",-0.806079279652136,0.67543874373952,2.7714381179039,74.9701646367362,301,-0.695639563698118,0.401912332762591,1,"USA",80,"PGA Tour","PGA Tour",-0.987436540457629,0.641862747035426,1.38181816215302e-12,2.59256920239617,2.68787122921212
89,"Sean O'Hair","7626",-0.804953871200984,0.672981545698643,2.8223431571241,76.5654566031833,339,-0.778958721577041,0.392017299225756,1,"USA",77,"PGA Tour","PGA Tour",-0.978640986714949,0.641530711877729,1.48568902416104e-12,2.72731590256656,2.74093355186045
90,"Joost Luiten","10158",-0.794582848718735,0.684721193445038,2.71811257885131,76.070946247594,245,0.153745279264252,0.481098285810208,1,"NED",94,"European Tour","European Tour",-1.01574293835862,0.64237156903507,1.04600038808405e-12,2.44973294376869,2.63045488054005
91,"Simon Dyson","6436",-0.780558542493815,0.664167168316778,2.86111402734901,90.8849043177065,389,-0.0330099391713434,0.395970372009764,1,"ENG",100,"European Tour","European Tour",-0.956727115064275,0.639083099756109,1.56472102416501e-12,2.82466105482426,2.78295803957288
92,"Thomas Aiken","7679",-0.777547612237993,0.665085109592738,2.87593680828687,89.9226617427648,353,0.23810696205451,0.399393247315617,1,"RSA",104,"European Tour","European Tour",-0.966837683778894,0.639269948051007,1.41700946253126e-12,2.85933327395723,2.79797682661192
