"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
1,"Jordan Spieth","14636",-2.53932951684266,0.451795833491756,2.826529932424,3,-2,-2.41202554978576,-0.127303967056899,87.4191971476976,328,-0.723170119922394,0.388067774642875,1,"USA",100,"PGA Tour","PGA Tour",-2.79696096889263,0.376174609896457,5.47266408957222e-29,2.843056542011,2.79018852118066
2,"Jason Day","9771",-2.45362059289143,0.492326171893647,2.83454002239201,1,1,-2.51427193919755,0.0606513463061242,60.7765174546399,280,-0.893488689507489,0.365661997201907,1,"AUS",72,"PGA Tour","PGA Tour",-2.79148606824004,0.39007340220291,5.21864338293966e-27,2.86990097689019,2.79145698140069
3,"Rory McIlroy","10091",-2.41085701180051,0.472416379934599,2.83349676729934,2,1,-2.41543858224871,0.00458157044819574,68.3765511838371,326,-0.688232016404709,0.34686580617258,1,"NIR",70,"PGA Tour","PGA Tour",-2.71950598556646,0.385278309889251,9.25209900774383e-27,2.86756555933264,2.79383727054123
4,"Henrik Stenson","5994",-2.10963216483239,0.450659384838789,2.77217465296009,4,0,-2.11147687849506,0.00184471366266914,86.3869935322271,393,-0.701535977483611,0.373738997932954,1,"SWE",94,"PGA Tour","PGA Tour",-2.34408578722515,0.376935107631172,2.52476120707972e-23,2.71572781574131,2.73529859894146
5,"Justin Rose","6093",-2.07202409809385,0.45303407909785,2.79006393833309,5,0,-2.07340025101166,0.00137615291780691,86.6682023131109,370,-0.728420766160753,0.388896933340648,1,"ENG",98,"PGA Tour","PGA Tour",-2.30347634543459,0.376746303831166,7.05636336100668e-23,2.7570685603861,2.75303775912404
6,"Jim Furyk","2881",-2.0392050354629,0.489852833974917,2.67955513228297,6,0,-2.04547444737387,0.00626941191096853,56.6105149174416,314,-0.790740570720924,0.298617995484184,1,"USA",64,"PGA Tour","PGA Tour",-2.36796014412778,0.392974045693847,7.64983791589203e-22,2.39956531504658,2.63439934482052
7,"Bubba Watson","7334",-1.99401752620175,0.464360267120495,2.68831403852959,7,0,-2.01297526078445,0.0189577345827028,80.3174957458034,330,-0.715318745524508,0.407049225058491,1,"USA",83,"PGA Tour","PGA Tour",-2.2385303783582,0.379124452706251,6.97789656565651e-22,2.50172405698949,2.64790519318103
8,"Sergio Garcia","5689",-1.81647351861582,0.461735841437496,2.70510524448635,8,0,-1.81899143425007,0.00251791563425474,77.7577527324545,348,-0.446901783885721,0.373150492675446,1,"ESP",84,"PGA Tour","PGA Tour",-2.0666194242903,0.3804075942503,6.87107246406629e-20,2.54029795915398,2.66540698514872
9,"Dustin Johnson","12422",-1.80387869880094,0.48263249195273,2.89532187167711,9,0,-1.81574247491306,0.0118637761121168,68.494416000163,300,-0.850436012943853,0.401568749938793,1,"USA",86,"PGA Tour","PGA Tour",-2.06556332750081,0.385079608230299,1.94802638185882e-19,3.03078953424451,2.85481253645897
10,"Rickie Fowler","12965",-1.79975638631907,0.456831244762411,2.76946241601941,10,0,-1.74902562860423,-0.0507307577148428,82.6124018294607,362,-0.827674359456542,0.383060016918411,1,"USA",96,"PGA Tour","PGA Tour",-2.01984319786933,0.378189722980991,1.31023230223828e-19,2.70580633562361,2.73152471845907
11,"Hideki Matsuyama","13562",-1.72374049509959,0.45649245698757,2.65618500400869,11,0,-1.72361645648667,-0.000124038612924648,84.5298314553297,307,-0.657140455065412,0.394392342848775,1,"JPN",91,"PGA Tour","PGA Tour",-1.94255936356584,0.377399158326798,7.0742466166498e-19,2.43526616353667,2.61666455860015
12,"Matt Kuchar","6169",-1.71432995434861,0.446014381406183,2.61795670044559,12,0,-1.71446005355034,0.000130099201728351,89.70556468424,399,-0.700310807853467,0.370884876148709,1,"USA",102,"PGA Tour","PGA Tour",-1.91817880484028,0.375185195913164,7.92282745747343e-19,2.3613432199895,2.57968379011592
13,"Patrick Reed","14838",-1.63295635558733,0.447473065533467,2.72020802915889,14,-1,-1.56310307545206,-0.0698532801352729,100.491786630685,348,-0.751357924054817,0.435856756717269,1,"USA",120,"PGA Tour","PGA Tour",-1.81350178757182,0.371973086500804,4.87714022441308e-18,2.60665098279749,2.68315105380271
14,"Zach Johnson","6986",-1.54864744459917,0.45374902792201,2.70234778330657,13,1,-1.59365322871725,0.0450057841180795,81.7237089410354,383,-0.859068732663634,0.360831343926742,1,"USA",92,"PGA Tour","PGA Tour",-1.75322528452933,0.378351208703889,6.77035857671105e-17,2.54293701871204,2.66398111134478
15,"Adam Scott","6430",-1.54357127964585,0.474800448302521,2.80340478402307,15,0,-1.5439252816867,0.000354002040850787,70.5935890642573,310,-0.393737190086064,0.38094148181497,1,"AUS",68,"PGA Tour","PGA Tour",-1.80083392594769,0.383990456140554,6.69383465826363e-17,2.7839272677042,2.76290479701621
16,"Kevin Na","7452",-1.51822174849281,0.460414417060401,2.71465276785176,16,0,-1.51902748077477,0.000805732281961236,81.5652841847479,326,-0.739842356116945,0.396248307097419,1,"USA",103,"PGA Tour","PGA Tour",-1.72777115168687,0.378290548645145,1.18085618588577e-16,2.57003716437539,2.67532394572473
17,"Paul Casey","7108",-1.47290956919669,0.458470458228549,2.70134604261448,17,0,-1.47376075427449,0.00085118507779991,80.0925016724397,342,-0.636379742036041,0.374167477417942,1,"ENG",91,"PGA Tour","European Tour",-1.68686069236995,0.379160165738683,3.40267842187298e-16,2.53602641632959,2.66215613382848
18,"Danny Willett","12920",-1.38254401815109,0.460595657874905,2.76191567535624,19,-1,-1.38343321189279,0.000889193741700378,81.1795322288114,343,-0.308656228443655,0.390151301751169,1,"ENG",84,"European Tour","European Tour",-1.60331661853514,0.379556639914211,2.20042880136213e-15,2.68532865223586,2.72323885065657
19,"Justin Thomas","14139",-1.37186167813248,0.463709494825155,2.71652731271538,18,1,-1.40435612351041,0.0324944453779317,86.7006572607177,237,-0.459401658565177,0.448759643793118,1,"USA",110,"PGA Tour","PGA Tour",-1.57552566070685,0.376053949252173,2.20120150717714e-15,2.57937526473915,2.67665727076472
20,"Branden Grace","11952",-1.36635504799617,0.44954839754602,2.78149135612203,20,0,-1.3456531443448,-0.0207019036513667,91.4229020713836,395,-0.27051161278613,0.397637705579157,1,"RSA",100,"European Tour","European Tour",-1.56579183489679,0.375291189148897,2.38221119626643e-15,2.73853591939591,2.74492265873656
21,"Brooks Koepka","16243",-1.36032383689159,0.454894734531975,2.82811073200147,23,-2,-1.2793073242302,-0.0810165126613918,87.3429567207882,319,-0.559517905897661,0.404392051843578,1,"USA",96,"PGA Tour","PGA Tour",-1.55560406855832,0.37621178467652,3.45768354926188e-15,2.84564663973232,2.79128663754853
22,"Phil Mickelson","1547",-1.29898144037816,0.486686380576842,2.75313732430814,21,1,-1.30308716114471,0.00410572076655069,59.3261860385846,319,-0.749800076749195,0.319390809472156,1,"USA",74,"PGA Tour","PGA Tour",-1.56138050734052,0.390850052641559,3.12390902144163e-14,2.63181277693347,2.70977886430971
23,"Keegan Bradley","13872",-1.28527308322142,0.456490010068408,2.7406930628475,22,1,-1.28683095618284,0.00155787296142051,78.5986754511953,377,-0.740624249501921,0.353119662225794,1,"USA",94,"PGA Tour","PGA Tour",-1.48595123051053,0.379573316031068,2.53791966565097e-14,2.63277765343232,2.70240917246966
24,"Bill Haas","7900",-1.25379005939761,0.454353998730092,2.60799855118194,25,-1,-1.27064985338888,0.0168597939912742,82.2083865515142,372,-0.839176547499109,0.367838829598525,1,"USA",90,"PGA Tour","PGA Tour",-1.4403500529516,0.378087379026449,5.10215919848983e-14,2.3136809534654,2.56811582425814
25,"Francesco Molinari","7655",-1.24402999807957,0.45359379505667,2.68669852974147,26,-1,-1.24519361323367,0.00116361515410413,78.0100052228562,381,-0.361909201397087,0.330358132993188,1,"ITA",84,"PGA Tour","European Tour",-1.4589633757469,0.380399703511052,4.98003877014978e-14,2.49796059439304,2.64813172988073
26,"Russell Knox","13831",-1.22016893750309,0.446196537378843,2.7117207341885,24,2,-1.27592202898283,0.0557530914797442,92.8573900310853,394,-0.568425522440602,0.390648492704057,1,"SCO",107,"PGA Tour","PGA Tour",-1.39587737381886,0.373999102297562,6.74857304359788e-14,2.5815771183825,2.67475942661372
27,"Ryan Palmer","7820",-1.21517159023713,0.46537569957962,2.75578260823625,27,0,-1.2179975311075,0.00282594087036903,70.6306856901738,348,-0.64286716046103,0.334041554265568,1,"USA",83,"PGA Tour","PGA Tour",-1.436640513053,0.383298495965812,1.19589509164975e-13,2.66117732630693,2.71620382926211
28,"Louis Oosthuizen","7672",-1.20666432488803,0.480538946223002,2.73902326180889,28,0,-1.21003041531024,0.00336609042221259,68.7784368945858,305,-0.638619569907111,0.393259828157221,1,"RSA",74,"PGA Tour","PGA Tour",-1.43514151406496,0.385015953012394,1.57984824227005e-13,2.6071543494605,2.69654051515884
