"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
1,1,"Jordan Spieth",14636,-2.41815173277842,0.462126575703658,2.80888312162367,1,0,-2.4290614396397,0.0109097068612827,90.6263983413631,340,-0.532957286492976,0.399454095001686,11.8267,1,"USA",106,"PGA Tour","PGA Tour",-2.66984352696528,0.39078667405439,1.79440308674755e-26,2.79675627970261,2.77060704881994,2016-02-15
2,3,"Rory McIlroy",10091,-2.33416754404541,0.483365155270247,2.80584172355272,2,0,-2.335346591967,0.00117904792159385,69.376766103068,326,-0.537065951834346,0.356764411799393,9.858,1,"NIR",70,"PGA Tour","PGA Tour",-2.64146742632187,0.39991432221128,4.97862193750447e-25,2.7869229192976,2.76389325124902,2016-02-15
3,2,"Jason Day",9771,-2.26745092944281,0.48858760290597,2.82471212967156,3,0,-2.24072976963345,-0.0267211598093651,60.7866797451406,281,-0.749732888032282,0.369051412630673,10.0114,1,"AUS",70,"PGA Tour","PGA Tour",-2.59875693460704,0.383628305801644,1.55417389261658e-26,2.84293289678613,2.78213600850142,2016-02-15
4,5,"Henrik Stenson",5994,-2.0583080938724,0.463067122410503,2.76150600529075,4,0,-2.06064524971844,0.00233715584603722,85.6562046760292,393,-0.559944761545203,0.372623884834754,7.2014,1,"SWE",92,"PGA Tour","PGA Tour",-2.29734965592818,0.392872669287301,5.27980578275017e-22,2.68535457030643,2.72240413190241,2016-02-15
5,7,"Justin Rose",6093,-1.98846285452938,0.465722489537989,2.77408381411811,5,0,-1.92049388903794,-0.0679689654914353,84.2056576111207,372,-0.611072660073906,0.378812411801791,6.3908,1,"ENG",94,"PGA Tour","PGA Tour",-2.22519616992729,0.39323117470626,3.37579717041134e-21,2.71383045673237,2.73471087511836,2016-02-15
6,11,"Jim Furyk",2881,-1.9050258199744,0.511224016438336,2.69187784446729,6,0,-1.91026049989422,0.0052346799198173,51.1127661069402,310,-0.683444060705763,0.270830786259579,4.7354,1,"USA",64,"PGA Tour","PGA Tour",-2.26004895777003,0.412362328531366,9.33194503875285e-20,2.40189340629202,2.64288787778644,2016-02-15
7,6,"Bubba Watson",7334,-1.84431896912955,0.476046705555629,2.70253747325962,7,0,-1.89630488163835,0.0519859125087974,79.4068393389551,329,-0.603955897502213,0.402911609914636,7.1368,1,"USA",86,"PGA Tour","PGA Tour",-2.08650729553977,0.394927085830396,1.32100367178821e-19,2.53034346796403,2.66027974628649,2016-02-15
8,4,"Rickie Fowler",12965,-1.84296814071033,0.467986167886847,2.75652664859431,8,0,-1.83927651203007,-0.00369162868026374,84.1228289413068,361,-0.696945623450985,0.391378792016325,8.1089,1,"USA",94,"PGA Tour","PGA Tour",-2.06815164340434,0.393155739725466,1.39406699545399e-19,2.67072820762077,2.71651028179117,2016-02-15
9,18,"Sergio Garcia",5689,-1.70705634771995,0.475770134906808,2.70672186681932,9,0,-1.70795661775531,0.000900270035362194,74.029005027626,345,-0.330736703028425,0.3576385833278,4.001,1,"ESP",82,"PGA Tour","PGA Tour",-1.96553841408265,0.39754270076529,3.47635127627104e-18,2.5318844583717,2.6645798999183,2016-02-15
10,12,"Hideki Matsuyama",13562,-1.68098478431359,0.468818843861508,2.68730049001586,11,-1,-1.67899531575612,-0.00198946855747395,82.2220215530294,311,-0.548600169140537,0.38328202568697,4.5646,1,"JPN",88,"PGA Tour","PGA Tour",-1.90684346692637,0.393819390664573,6.24889220123564e-18,2.50075630316252,2.64609009961488,2016-02-15
