"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
1,"Luke Donald","4163",-2.47720056744039,0.411111251876903,2.67603587053222,89.6569482821562,328,-0.739566078721268,0.424658264341812,1,"ENG",90,"PGA Tour","PGA Tour",-2.72814561028672,0.3116212854153,1.22622215058019e-32,2.50865004005585,2.64426842793151
2,"Lee Westwood","4052",-2.37356311643381,0.426836949540544,2.81505488386942,74.6126024551876,329,-0.416502509374568,0.391472456784424,1,"ENG",83,"European Tour","European Tour",-2.67287761118975,0.319094858716426,2.48549708557685e-30,2.83260941213834,2.78250682257996
3,"Rory McIlroy","10091",-2.23743671216847,0.409966432814748,2.85397666245578,84.8548579935191,368,-0.455854538388957,0.387750554029279,1,"NIR",82,"European Tour","European Tour",-2.49493813197257,0.314088660098095,1.93729204895538e-28,2.92517885985113,2.82437786314214
4,"Steve Stricker","4818",-2.18260240463672,0.435395528169106,2.71798741641855,66.8700565741684,305,-1.04325111333238,0.360371894975038,1,"USA",75,"PGA Tour","PGA Tour",-2.46562019466727,0.323464028682901,1.74637245738752e-26,2.56747106003884,2.68288768491339
5,"Tiger Woods","5321",-2.02248808801752,0.518313463063944,2.85453388734128,42.9535564660175,186,-0.827599508188546,0.358016006221443,1,"USA",38,"PGA Tour","PGA Tour",-2.44951356061235,0.347972070075548,6.62062253982986e-23,2.95991183889526,2.80708298202714
6,"Charl Schwartzel","7398",-1.93896727566202,0.401582074215744,2.74612397590202,90.6788366110025,394,-0.402831041935704,0.383968595057625,1,"RSA",93,"PGA Tour","European Tour",-2.1667488652701,0.311535417210624,5.62163600375389e-24,2.67424721261697,2.71660242374414
7,"Matt Kuchar","6169",-1.89960637178222,0.407987996171373,2.64457491354103,85.2284438102073,365,-0.909229962917097,0.382825456792979,1,"USA",96,"PGA Tour","PGA Tour",-2.11603462864932,0.313282761319266,5.07913292967696e-23,2.42794304473537,2.61291451607407
8,"Hunter Mahan","7636",-1.84210249543169,0.407083383514257,2.62582898197403,85.7689106224048,366,-0.964354684822631,0.38193839135809,1,"USA",97,"PGA Tour","PGA Tour",-2.05145961181116,0.313068107029646,3.64601537352121e-22,2.38502503844643,2.59408191108942
9,"Martin Kaymer","8117",-1.83940966465755,0.415867624600386,2.68291832527246,81.3587954611494,350,-0.472049818106116,0.391395249978165,1,"GER",86,"European Tour","European Tour",-2.08118938320404,0.31583361414195,3.32668844197524e-22,2.50983688781868,2.65049143724179
10,"Sergio Garcia","5689",-1.76652401009397,0.412308293831698,2.85513640766013,86.0436854947258,359,-0.577863133055526,0.408120989320873,1,"ESP",97,"PGA Tour","PGA Tour",-1.98866898607287,0.313112416912366,2.57509495558938e-21,2.9257280654639,2.82520897938259
