"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
1,"Tiger Woods","5321",-3.03176237197823,0.65799444207252,2.85022087877014,43.7466408226027,172,-0.807453939354698,0.400683089175843,1,"USA",56,"PGA Tour","PGA Tour",-3.556275885882,0.558635250999644,2.35671044533042e-14,2.83429492382879,2.77322959236679
2,"Lee Westwood","4052",-2.18996192567869,0.581930714076059,2.83067869770217,87.6104433753097,331,-0.459230738094972,0.413590634084937,1,"ENG",98,"European Tour","European Tour",-2.43972718691035,0.536840477007137,4.64572246577522e-09,2.79675287681025,2.77021633336456
3,"Phil Mickelson","1547",-2.13146801108147,0.591275734289729,2.84730719758144,78.8754631291867,293,-0.769622082328063,0.425922041937041,1,"USA",82,"PGA Tour","PGA Tour",-2.38767494842319,0.538874283361704,9.42967927236261e-09,2.83661506412151,2.78523810174987
4,"Jim Furyk","2881",-2.02639240459903,0.587373554441828,2.79465933363488,80.7274694682483,307,-0.827341520083134,0.411701237501085,1,"USA",88,"PGA Tour","PGA Tour",-2.26708184064424,0.538256834200013,3.32838566310599e-08,2.70693015889604,2.73223591562202
5,"Steve Stricker","4818",-1.96367044970168,0.597570496782418,2.77569383735357,70.4881125050855,274,-0.885942639469876,0.401828094955611,1,"USA",74,"PGA Tour","PGA Tour",-2.2279312500007,0.54179730777828,6.13335914747892e-08,2.64633587998245,2.71060616469782
6,"Ernie Els","874",-1.76739267464635,0.57833373609903,2.77839423501976,94.2005339612922,340,-0.535576410423858,0.42579589570582,1,"RSA",103,"PGA Tour","PGA Tour",-1.97530170231419,0.534896386193488,5.37462991592072e-07,2.67790505758655,2.71753649743307
7,"Luke Donald","4163",-1.75262016850862,0.593480753889771,2.75133300034448,81.4869043082472,275,-0.609319193605156,0.459347889450161,1,"ENG",94,"PGA Tour","PGA Tour",-1.9864647109571,0.538123970675811,5.64119177953408e-07,2.59703319601724,2.68656171966083
8,"Anthony Kim","11641",-1.69918365843095,0.589706827699257,2.89332952362041,71.9150311820232,307,-0.671584394612134,0.35923483038122,1,"USA",75,"PGA Tour","PGA Tour",-1.94852435148224,0.541275994716934,9.39601132553079e-07,2.96467672106211,2.83259626308064
9,"Padraig Harrington","5716",-1.69608382051491,0.582886851668055,2.72835490100495,88.9371868590351,321,-0.6291498123292,0.430347921170772,1,"IRL",100,"PGA Tour","PGA Tour",-1.90656699938623,0.536183146835789,1.1035645307107e-06,2.55592483482053,2.66536364948392
10,"Matt Kuchar","6169",-1.6403569585616,0.586592384745184,2.68754322127965,82.9603144821522,311,-0.681301704667121,0.421868120789422,1,"USA",86,"PGA Tour","PGA Tour",-1.85801418186157,0.537497391220114,1.8425684682202e-06,2.44634649174941,2.6227462592491
11,"Retief Goosen","4884",-1.60136449301073,0.578903244621439,2.74588739258208,87.2697825837939,335,-0.535890737444625,0.391020623216189,1,"RSA",94,"PGA Tour","PGA Tour",-1.81164255490149,0.536592913002749,2.71092912083299e-06,2.59742234087337,2.68417000320545
12,"Graeme McDowell","7548",-1.58740489872368,0.580579006388102,2.74659307319417,90.2318948871416,337,-0.336377244725856,0.418093729012044,1,"NIR",97,"European Tour","European Tour",-1.800665829912,0.536301981934364,2.95871186448762e-06,2.60108897142599,2.68453003839771
13,"Robert Allenby","4949",-1.57700142715071,0.577164047875957,2.73317376600828,88.0261962038221,352,-0.633615737319254,0.383404358008466,1,"AUS",90,"PGA Tour","PGA Tour",-1.77971630134568,0.536237321615622,3.56659195990768e-06,2.56903519561774,2.6715389753914
14,"K.J. Choi","1804",-1.52434360130815,0.588306644311805,2.74112658474913,86.6565809137745,306,-0.518167823987664,0.457107889323648,1,"KOR",91,"PGA Tour","PGA Tour",-1.73542588340356,0.536541211005063,5.3648969816495e-06,2.58070627703344,2.67725050114423
15,"Camilo Villegas","9171",-1.4982696481358,0.584662742442163,2.84764778791972,84.5979110051361,314,-0.710865577495191,0.417376942680103,1,"COL",88,"PGA Tour","PGA Tour",-1.70173027129586,0.53724319537154,7.41816233472383e-06,2.83725374537723,2.7869817727506
16,"Rory McIlroy","10091",-1.47324737620312,0.588697266629873,2.80827744926434,80.4705074432551,266,-0.371735231075807,0.41649138454603,1,"NIR",80,"European Tour","European Tour",-1.70014751578017,0.538832162018821,8.00048462495743e-06,2.73999247621195,2.74588014310697
17,"Ben Crane","6674",-1.46710205702203,0.593236114759056,2.72679253827492,80.6435547296927,248,-0.62626130296661,0.452400310081976,1,"USA",86,"PGA Tour","PGA Tour",-1.68306676028452,0.538280471212046,9.07921727686326e-06,2.53524462384915,2.6614786226715
18,"Martin Kaymer","8117",-1.45412929020052,0.587326652721811,2.70402606557304,81.1352182388647,307,-0.386389196547869,0.410460043703252,1,"GER",80,"European Tour","European Tour",-1.67714722739647,0.538776599222924,9.73660727854155e-06,2.48280735789926,2.63947047081437
19,"Paul Casey","7108",-1.42958139082413,0.60164007208542,2.87568242843315,69.393834822293,271,-0.581124408276598,0.417771681977399,1,"ENG",58,"PGA Tour","European Tour",-1.67558534121219,0.542555522729909,1.13738673942281e-05,2.91485774685846,2.81204172317202
20,"Justin Rose","6093",-1.36961440896384,0.585197790787954,2.89627444420676,90.2987968071863,292,-0.544745457437234,0.455538492246143,1,"ENG",106,"PGA Tour","PGA Tour",-1.56231566227763,0.535727189351455,2.29805675449871e-05,2.94674899018614,2.83653824261583
21,"Tim Clark","3849",-1.3675623371093,0.584798856520123,2.80083497931232,81.824914501275,302,-0.652335192867045,0.400888109413615,1,"RSA",78,"PGA Tour","PGA Tour",-1.57110504354917,0.537895033921029,2.30545760904089e-05,2.72378863890386,2.73910329829896
22,"Francesco Molinari","7655",-1.36452313417558,0.579164557582115,2.69645253509802,91.2260402319423,336,-0.146894933685072,0.411421913133363,1,"ITA",100,"European Tour","European Tour",-1.57024362802877,0.536331630355092,2.19785136546509e-05,2.48668348756659,2.63351944919289
23,"Sean O'Hair","7626",-1.36402176221562,0.587656117155067,2.74472113341234,81.3624417232138,311,-0.795436231530024,0.418503240115932,1,"USA",89,"PGA Tour","PGA Tour",-1.56253145407621,0.538000119432498,2.48360216915297e-05,2.58365048941222,2.68107336493625
24,"Zach Johnson","6986",-1.3473400628163,0.583606394650777,2.80030265533265,90.9182164227527,309,-0.76809184189979,0.447967903056896,1,"USA",95,"PGA Tour","PGA Tour",-1.52727210592281,0.535500022170962,3.04431926185092e-05,2.7246636462995,2.73881334478745
25,"Dustin Johnson","12422",-1.33782063479534,0.596616910442541,2.9360088257279,77.9088401548992,229,-0.739713363925012,0.455696599183728,1,"USA",82,"PGA Tour","PGA Tour",-1.54658602532318,0.539198882143575,2.94939996978169e-05,3.05889516228638,2.87475148263743
26,"Hunter Mahan","7636",-1.33769660328761,0.585594545732437,2.78403969589075,82.5908129076582,315,-0.7495706914879,0.411863344806559,1,"USA",82,"PGA Tour","PGA Tour",-1.5336395234134,0.537665841427933,3.1112041954401e-05,2.6824290118435,2.7217560611311
27,"Kenny Perry","604",-1.32724779731568,0.582750559217519,2.79223950175666,89.7851440531,322,-0.784632352623103,0.435287964435242,1,"USA",90,"PGA Tour","PGA Tour",-1.5069706038815,0.535793231734906,3.62837585037167e-05,2.70609711490481,2.73075140225213
28,"Scott Verplank","220",-1.28366901183051,0.588317830765668,2.7435259319945,81.4775763661305,298,-0.685390548305024,0.423454499399981,1,"USA",80,"PGA Tour","PGA Tour",-1.4819340158731,0.538062451765321,4.7826064064665e-05,2.58048744034003,2.67970458624258
29,"Geoff Ogilvy","5698",-1.2706352105737,0.586052395723837,2.85498274266915,82.7882790004101,302,-0.655073215987055,0.415973372404851,1,"AUS",92,"PGA Tour","PGA Tour",-1.46627890034776,0.537696091575749,5.35288663241228e-05,2.8555614173817,2.79418486331972
30,"Peter Hanson","6850",-1.26490495948822,0.584845609843,2.7291245425235,81.4656900851666,323,-0.185596213350035,0.393584587007383,1,"SWE",85,"European Tour","European Tour",-1.48323372177438,0.538872346995909,4.85904977312574e-05,2.54675321473456,2.66572248766661
31,"Nick Watney","7955",-1.26396705905533,0.58118870115372,2.84665313120887,87.0633389170136,327,-0.738020957557753,0.408045805030102,1,"USA",96,"PGA Tour","PGA Tour",-1.44638685347616,0.536449083217089,6.02144273209492e-05,2.83515823466689,2.78669225840826
32,"Bo Van Pelt","6457",-1.22608216746793,0.574204814120878,2.81320136131373,102.873700186221,368,-0.556765019441242,0.437399527840215,1,"USA",109,"PGA Tour","PGA Tour",-1.38825789965173,0.532891422607563,8.5062081037252e-05,2.75842333506803,2.75397725675754
33,"David Toms","4340",-1.21687443231481,0.589009437564952,2.67740835533889,83.5393019826112,289,-0.651792110133877,0.442682424580106,1,"USA",88,"PGA Tour","PGA Tour",-1.40840527035953,0.53736476245904,8.33869856246439e-05,2.42159249900831,2.61181610832347
34,"Ian Poulter","1435",-1.2095253306612,0.589180540081259,2.93370607302886,75.826893876018,304,-0.629773673052338,0.386791162835983,1,"ENG",82,"European Tour","PGA Tour",-1.41821082890252,0.540083729337427,8.3962263256803e-05,3.06189425701036,2.87393417010828
35,"Stewart Cink","5665",-1.16427292922454,0.589099464034716,2.6696162732326,83.6797152384786,301,-0.804845905844688,0.443637311090473,1,"USA",86,"PGA Tour","PGA Tour",-1.34511032624128,0.537429171437651,0.00013551927686172,2.40289666444087,2.60380737916274
36,"Charl Schwartzel","7398",-1.13673623376479,0.578806536460698,2.79368608186047,91.5477368830897,335,-0.0683185790767543,0.411987947551059,1,"RSA",103,"European Tour","European Tour",-1.33179066571916,0.53601679789817,0.000143873645973877,2.71180018467018,2.73306877288723
37,"Sergio Garcia","5689",-1.12334940469767,0.582148959228237,2.8711248948624,87.3130402826461,326,-0.573046238918721,0.415388310804558,1,"ESP",92,"PGA Tour","PGA Tour",-1.30411934020042,0.536590895748745,0.000179836685579058,2.89247218325132,2.81148728454676
38,"Bubba Watson","7334",-1.11580462460308,0.592663953407787,2.77533850868382,74.341200323071,293,-0.615668217869507,0.401716590092995,1,"USA",68,"PGA Tour","PGA Tour",-1.32323718829533,0.540212830008638,0.000172614961480282,2.65148373071486,2.71131947142243
39,"Stephen Ames","4102",-1.1028015215909,0.595683844609859,2.87075343672749,73.0174255222024,277,-0.653597482849808,0.411126914359287,1,"CAN",74,"PGA Tour","PGA Tour",-1.31133876711773,0.540798085880441,0.00019149086405249,2.90004589302743,2.80827100753355
40,"Steve Marino","7741",-1.0967474581301,0.57247119919846,2.79088294114521,95.2694588709252,382,-0.609875230254488,0.388355304456824,1,"USA",94,"PGA Tour","PGA Tour",-1.25964898493094,0.534364073850062,0.000234918063070287,2.7092542806591,2.73153881855331
