"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev"
1,"Tiger Woods","5321",-2.54827321682492,0.53721273538785,2.78033278127679,62.6015042509696,238,-0.935028179289993,0.441479428798916,1,"USA",76,"PGA Tour","PGA Tour",-2.88817215535873,0.438592284852079,3.23823792728596e-25,2.68741344286042,2.72793930496619
2,"Rory McIlroy","10091",-2.48410153347657,0.497787699110321,2.85101387935059,81.6185222338232,354,-0.58145836345647,0.392038716747777,1,"NIR",82,"PGA Tour","European Tour",-2.7606985698884,0.429422846746641,7.10486648762801e-25,2.88784409775391,2.80722060886995
3,"Luke Donald","4163",-2.41427021703802,0.490637559725563,2.67078796009477,88.86114420339,376,-0.710628299937428,0.397137263995957,1,"ENG",90,"PGA Tour","PGA Tour",-2.66223879347546,0.426793863279643,3.98633545107112e-24,2.46399897145206,2.62533485726559
4,"Adam Scott","6430",-2.07642163682271,0.506324283622095,2.79933591579044,78.1864301837409,319,-0.555737835517648,0.417377793759296,1,"AUS",78,"PGA Tour","PGA Tour",-2.34037082855511,0.430585599147209,1.46912443090765e-20,2.75782011727205,2.75316495859745
5,"Justin Rose","6093",-2.04463174568182,0.49308063294195,2.74224114224534,86.6606047621984,365,-0.69599318053499,0.398662685556981,1,"ENG",92,"PGA Tour","PGA Tour",-2.27650050108564,0.427427494758686,3.12843801439364e-20,2.62794023922139,2.69754665791726
6,"Bo Van Pelt","6457",-2.00097898039188,0.486540069001152,2.72452338778689,89.870193724491,398,-0.801613608650787,0.37915831868284,1,"USA",94,"PGA Tour","PGA Tour",-2.2173312441682,0.426268302777466,8.97415603126075e-20,2.59208756354824,2.68072871657206
7,"Steve Stricker","4818",-1.95558957613142,0.514685990319969,2.67271936994886,68.2005483078992,307,-0.989096505987322,0.377666298358018,1,"USA",74,"PGA Tour","PGA Tour",-2.22114566628063,0.435340561599269,4.67046369085643e-19,2.40803189591859,2.62269463755661
8,"Lee Westwood","4052",-1.90538865892249,0.497772319790101,2.86613101083203,86.1850363783949,340,-0.505787403096956,0.422332057050555,1,"ENG",97,"PGA Tour","European Tour",-2.13981994676022,0.427844308059123,6.33360525067297e-19,2.91941463049374,2.8225750103237
9,"Jim Furyk","2881",-1.90502611780634,0.496033438019621,2.65410605016175,81.8044737707096,347,-0.883035124146837,0.384089993497691,1,"USA",88,"PGA Tour","PGA Tour",-2.13126170688338,0.429098773940309,9.56340673988034e-19,2.40679347834648,2.60734151078673
10,"Phil Mickelson","1547",-1.86406171391961,0.498856166314117,2.84467011249098,78.7997737116049,334,-0.772963728083377,0.379119795700335,1,"USA",90,"PGA Tour","PGA Tour",-2.10020568942842,0.430205239042047,2.22673001686781e-18,2.87441474787004,2.80058754089741
11,"Charl Schwartzel","7398",-1.85254607019715,0.488104094344732,2.90480209249666,95.7602151975573,388,-0.323821986892835,0.419948489846521,1,"RSA",98,"European Tour","European Tour",-2.07090502113362,0.42485346865075,1.54473281142888e-18,2.99980297372834,2.86349953547349
12,"Matt Kuchar","6169",-1.83198119956375,0.492352764880621,2.58573704524472,83.7138339782418,367,-0.818418736384807,0.375323925248555,1,"USA",90,"PGA Tour","PGA Tour",-2.0513881074597,0.428377383963089,4.37737390968276e-18,2.24778950723382,2.53842959761844
13,"Louis Oosthuizen","7672",-1.81428497013707,0.493587764533248,2.80721980807172,94.4525191004844,355,-0.397968651675304,0.445824710909401,1,"RSA",102,"PGA Tour","European Tour",-2.03170703986941,0.425240247217629,3.74772478143693e-18,2.77990550247975,2.7634858728666
14,"Sergio Garcia","5689",-1.80872724717603,0.497969132940552,2.89636550757656,80.559166098119,347,-0.522251810305609,0.386152698388148,1,"ESP",82,"PGA Tour","PGA Tour",-2.04814177364024,0.429685051802668,5.89364403752056e-18,3.00060948143904,2.85323674028596
15,"Jason Dufner","7301",-1.8061817468984,0.495591925875733,2.88358796671282,84.6129381423679,366,-0.758957892673723,0.400968802221461,1,"USA",98,"PGA Tour","PGA Tour",-2.02577211564507,0.428010080565963,6.92615723208551e-18,2.96392814539968,2.84068094033416
16,"Bubba Watson","7334",-1.775917088669,0.503106802548245,2.80608508173541,76.6469156628772,326,-0.801234880991555,0.386507577991191,1,"USA",78,"PGA Tour","PGA Tour",-2.01150346664592,0.431281348808933,1.6277875439676e-17,2.77654244217775,2.76061533560323
17,"Ian Poulter","1435",-1.68789971505292,0.497356809493807,2.73235708431769,86.4500558816167,341,-0.601620317595601,0.422002766373495,1,"ENG",92,"PGA Tour","PGA Tour",-1.90404647475864,0.427657279693532,7.5179259890497e-17,2.60251896822523,2.68671015189045
18,"Webb Simpson","11049",-1.61674354007686,0.494867783238651,2.85470993405108,76.9482398734645,369,-0.797442430061473,0.340865561291629,1,"USA",80,"PGA Tour","PGA Tour",-1.83946715536493,0.430963665093051,4.48208846173988e-16,2.90338689621608,2.81148976250713
19,"Dustin Johnson","12422",-1.61378559809391,0.502523519388501,2.89798373558245,76.735911148375,340,-0.819834346974981,0.38404852326433,1,"USA",78,"PGA Tour","PGA Tour",-1.83765054281621,0.431189662057044,4.80614475847316e-16,3.01006227208289,2.85408126095979
