Event_ID,Event_Name,Event_Tour_1,Rank,OWGR_Rank,Player_Name,Player_ID,Projected_Rating,Projected_Stdev,Win_Rank,Win,Top_5,Top_10,Country,Rounds_Last_Year,Recent_Tour
6629,U.S. Open,Major Championship,51,44,Ross Fisher,9396,-0.972336713,2.419467044,37,0.0065,0.03811,0.08256,ENG,85,European Tour
6629,U.S. Open,Major Championship,31,46,Bill Haas,7900,-1.208529678,2.230799548,38,0.00647,0.04314,0.09711,USA,84,PGA Tour
6629,U.S. Open,Major Championship,32,29,Branden Grace,11952,-1.199815826,2.240781936,38,0.00647,0.04248,0.0976,RSA,101,PGA Tour
6629,U.S. Open,Major Championship,44,69,Shane Lowry,13900,-1.049607598,2.375307632,40,0.00637,0.04067,0.0899,IRL,72,PGA Tour
6629,U.S. Open,Major Championship,56,52,J.B. Holmes,7959,-0.891264175,2.507579184,41,0.00627,0.03617,0.08018,USA,84,PGA Tour
6629,U.S. Open,Major Championship,37,28,Rafael Cabrera Bello,7457,-1.14258453,2.284162728,42,0.00621,0.04031,0.09401,ESP,104,PGA Tour
6629,U.S. Open,Major Championship,63,25,Thomas Pieters,13944,-0.846229371,2.512480108,43,0.00596,0.03455,0.0756,BEL,77,European Tour
6629,U.S. Open,Major Championship,59,34,Jimmy Walker,7293,-0.883062871,2.491582014,44,0.00582,0.03552,0.07859,USA,81,PGA Tour
6629,U.S. Open,Major Championship,43,57,Russell Henley,14578,-1.050300091,2.380315163,45,0.00578,0.0398,0.08871,USA,79,PGA Tour
6629,U.S. Open,Major Championship,42,56,Byeong Hun An,14459,-1.064148594,2.271279815,46,0.00528,0.03489,0.08197,KOR,98,PGA Tour
6629,U.S. Open,Major Championship,55,47,Billy Horschel,11276,-0.89498521,2.413077818,47,0.00523,0.03259,0.07391,USA,82,PGA Tour
6629,U.S. Open,Major Championship,40,45,Gary Woodland,12577,-1.09365383,2.276636297,48,0.00509,0.03757,0.08445,USA,83,PGA Tour
6629,U.S. Open,Major Championship,54,55,Charley Hoffman,5768,-0.901084617,2.392327064,49,0.00486,0.03149,0.07182,USA,96,PGA Tour
6629,U.S. Open,Major Championship,50,63,Webb Simpson,11049,-1.002627357,2.316712748,50,0.00485,0.03257,0.07549,USA,87,PGA Tour
6629,U.S. Open,Major Championship,53,39,Russell Knox,13831,-0.915784954,2.382721752,51,0.0047,0.03164,0.07259,SCO,92,PGA Tour
