"Player_Name","Player_ID","Country","WGR_Rank","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Will Wilcox",14696,"USA","132","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Jonas Blixt",8182,"SWE","134","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Zac Blair",17639,"USA","137","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Boo Weekley",7403,"USA","142","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Jamie Lovemark",11382,"USA","143","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Morgan Hoffmann",14082,"USA","144","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"David Hearn",7340,"CAN","147","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Jerry Kelly",5151,"USA","158","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Peter Malnati",14926,"USA","159","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Matt Every",10185,"USA","161","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"George McNeill",6419,"USA","165","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Chris Stroud",9604,"USA","167","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Siwoo Kim",14609,"KOR","168","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Graham Delaet",10252,"CAN","170","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Scott Brown",11330,"USA","178","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Geoff Ogilvy",5698,"AUS","180","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Brendon de Jonge",8767,"ZIM","181","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Jim Herman",12846,"USA","183","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Andrew Loupe",15318,"USA","184","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Adam Hadwin",13965,"CAN","187","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Sunghoon Kang",7881,"KOR","188","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"John Huh",14606,"USA","190","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Jason Gore",6321,"USA","191","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Martin Laird",9586,"SCO","192","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Thomas Aiken",7679,"RSA","193","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Kyle Reifers",11329,"USA","198","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Rory Sabbatini",6283,"RSA","199","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"David Toms",4340,"USA","200","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Colt Knost",12149,"USA","201","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Vijay Singh",653,"FIJ","203","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Camilo Villegas",9171,"COL","204","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Stewart Cink",5665,"USA","206","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Chad Campbell",6248,"USA","207","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Ernie Els",874,"RSA","208","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Bryce Molder",7292,"USA","212","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Retief Goosen",4884,"RSA","216","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Shawn Stefani",14012,"USA","217","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Seungyul Noh",11117,"KOR","218","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Carl Pettersson",7048,"SWE","222","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Jon Curran",14699,"USA","228","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Blayne Barber",15608,"USA","230","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Hudson Swafford",14706,"USA","234","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Scott Pinckney",15477,"USA","242","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Derek Fathauer",12689,"USA","244","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Steve Stricker",4818,"USA","249","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Chesson Hadley",14967,"USA","255","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Harold Varner III",16602,"USA","256","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Spencer Levin",8199,"USA","263","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
"Sam Saunders",11048,"USA","266","Valspar Championship ",6130,2016-03-13,"PGA Tour",NA,NA,2016-03-09
