"Rank","OWGR_Rank","Player_Name","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Player_Avg_OWGR_Pts","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Rating_Date"
11,9,"Dustin Johnson","12422",-1.74054590671351,0.5034555460128,2.90301242590868,10,1,-1.77469529274503,0.0341493860315223,70.3166978917512,296,-0.696807184156201,0.410997384628899,5.8114,1,"USA",86,"PGA Tour","PGA Tour",-1.99946730384297,0.415641095583923,1.94737034751534e-17,3.03732605518104,2.85902320000541,2016-03-21
12,13,"Hideki Matsuyama","13562",-1.6898193358841,0.479601827891902,2.7471609017422,12,0,-1.66559190457296,-0.0242274313111399,85.8532678767211,323,-0.556730049894876,0.397361544802183,4.5779,1,"JPN",92,"PGA Tour","PGA Tour",-1.90802492117839,0.409226268611056,4.21953829047908e-17,2.6446579170694,2.7049722931564,2016-03-21
13,19,"Phil Mickelson","1547",-1.60079097312189,0.501553467320165,2.79113048957564,14,-1,-1.63246985041328,0.0316788772913916,68.0866105880704,319,-0.597118808982261,0.380274609999913,3.91,1,"USA",80,"PGA Tour","PGA Tour",-1.86086949680451,0.416536832794781,3.76533401203741e-16,2.73842986573719,2.74569727560375,2016-03-21
14,30,"Matt Kuchar","6169",-1.57151622715331,0.470546203037333,2.66495694077715,13,1,-1.64174816239945,0.0702319352461431,93.2129913246871,401,-0.581802309621426,0.38892462829955,3.1137,1,"USA",104,"PGA Tour","PGA Tour",-1.76602450694763,0.406686831004472,5.06362907280975e-16,2.46650861579934,2.6230863056719,2016-03-21
15,10,"Patrick Reed","14838",-1.44134322620848,0.470975032358661,2.74589813914009,15,0,-1.46774751692532,0.0264042907168394,98.7143429174032,362,-0.606013694978306,0.419318933188558,4.9065,1,"USA",114,"PGA Tour","PGA Tour",-1.61924548944446,0.405306057931547,7.5182512082539e-15,2.6530218353507,2.70520592736075,2016-03-21
16,25,"Paul Casey","7108",-1.42673076698797,0.481860057544548,2.69423119987232,16,0,-1.39507901443285,-0.0316517525551154,82.3866865047912,354,-0.539591203086247,0.387468126865994,3.3223,1,"ENG",88,"PGA Tour","PGA Tour",-1.63708451481529,0.410420299026176,1.14499728634605e-14,2.51230933509496,2.65079094673808,2016-03-21
17,15,"Zach Johnson","6986",-1.36786288141454,0.477493292866143,2.72394739156635,20,-3,-1.31991835743702,-0.0479445239775163,85.60678749582,380,-0.708087277886641,0.384220849150869,4.1276,1,"USA",96,"PGA Tour","PGA Tour",-1.56009541442274,0.40916193030874,4.105529965607e-14,2.59011278901356,2.68176985352751,2016-03-21
18,11,"Danny Willett","12920",-1.32661684099893,0.482832629455299,2.81086859020879,17,1,-1.34493806824574,0.018321227246809,84.5443905631025,349,-0.164506991211036,0.404359261858731,4.6548,1,"ENG",92,"European Tour","European Tour",-1.54307776838714,0.410388986717809,6.70390943962184e-14,2.79505489530677,2.76908917937932,2016-03-21
19,28,"Kevin Na","7452",-1.29729646601014,0.481264325402838,2.75420621397804,18,1,-1.32899558628619,0.0316991202760459,88.7233705217765,328,-0.597726182705391,0.425553728774109,3.1588,1,"USA",101,"PGA Tour","PGA Tour",-1.48513596733661,0.40805846467593,1.42105809669384e-13,2.66236160489239,2.71183268624924,2016-03-21
20,20,"Brooks Koepka","16243",-1.29652372630437,0.478652187942464,2.76694988142157,19,1,-1.3273790983152,0.030855372010828,86.1309755203679,335,-0.452182461905262,0.394066722541257,3.8702,1,"USA",96,"PGA Tour","PGA Tour",-1.49466814747113,0.409035790965182,1.36202416836385e-13,2.69216848021918,2.72523461912488,2016-03-21
